FT,D
UECTUERR,336
UECTUSDA,2140
UECTUOII,1458
UECTUSRO,1912
UECTUSMM,2024
UECTUELL,873
UECTUUYS,2716
UECTUSRK,1963
UECTUSDB,2251
UECTUITT,458
UECTULAM,2864
UECTUERP,728
UECTUIKB,290
UECTUSMQ,1942
UECTUERL,229
UECTUHNN,1949
UECTUHSH,2050
UECTUHPT,2966
UECTUHSM,2914
UECTUHSI,2927
UECTUNIS,1000
UECTUHOO,1788
UECTUIKK,291
UECTUEMO,526
UECTUHMP,2890
UECTUEBB,1437
UECTUHMK,2742
UECTUNIB,823
UECTUIUN,462
UECTUNIT,742
UECTUENN,542
UECTUOTT,1338
UECTUESK,2220
UECTUEST,1536
UECTUUYW,2407
UECTUSDS,1783
UECTUIKG,453
UECTULDW,2638
UECTUOHH,1400
UECTUIAR,535
UECTUEMT,1726
UECTUEMM,1028
UECTUERS,1349
UECTUEBD,1712
UECTUNIP,1158
UECTUERO,964
UECTUESG,1924
UECTUNIW,488
UECTUENS,438
UECTUEVV,983
UECTUHME,3402
UECTUHPD,2866
UECTUHKK,1939
UECTUIKE,226
UECTUEMA,1754
UECTUHPL,2706
UECTUHMF,2373
UECTUESU,2092
UECTUSDO,1574
UECTUHML,3773
UECTUHMW,2564
UECTUESS,2536
UECTUNII,1090
UECTUESO,2046
UECTUHMD,3743
UECTULAS,3692
UECTUEBS,1287
UECTUEBT,1599
UECTUHPG,2703
UECTUENW,706
UECTUHHY,1560
UECTUHSK,2303
UECTUHPU,2628
UECTUNKI,699
UECTUEEA,830
UECTUEMH,1408
UECTUNIM,952
UECTUHMS,2196
UECTUHMO,3010
UECTUENI,629
UECTUHNA,1622
UECTUHBE,1193
UECTUHMR,3483
UECTUHNB,1988
UECTUODD,1990
UECTUHPX,3238
UECTUHPZ,2890
UECTUEMU,1294
UECTUHPN,2847
UECTULDD,2502
UECTUHMN,2543
UECTUEMS,969
UECTUHNH,1860
UECTUHPA,3114
UECTUHBW,965
UECTUHPS,2736
UECTUHHG,1213
UECTUHBP,1537
UECTUHPK,2996
UECTUERA,678
UECTUHQO,2942
UECTUHPM,2857
UECTUHSN,2176
UECTZD5W,2978
UECTUSDM,2056
UECTHC3Y,2982
UECTUUEE,4156
UECTUUDD,4170
UECTUUWW,4188
UECTULLI,4240
UECTURSS,4965
UECTUNNT,1774
UECTUSSS,2893
UECTURFF,5157
UECTURKK,4879
UECTUWUU,3284
UECTUWKD,3572
UECTUHWW,2323
UECTURRP,4643
