АН,УА,дистанция
UERA,UERP,53
UEEA,UELL,190
ULDD,ULDW,167
UHNA,UHHY,259
UNIB,UNIS,231
UEBB,UEBS,182
UESG,UESO,239
UHMR,UHMA,205
USDB,USDA,169
UHNB,UHNN,87
UIKB,UIKG,172
UHHG,UHBE,162
UNIW,UNKI,277
ULDW,ULDD,167
UENI,UENW,78
UENW,UENI,78
UUYW,USDD,151
UEBD,UEBT,178
UODD,USDM,348
UNII,UNIM,157
UIKE,UECT,226
UEVV,UEBS,322
UHME,UHMA,232
UHML,UHMD,170
UHBE,UHHG,162
UESU,UESK,229
UOII,UOTT,191
UHPZ,UHPN,44
UHMK,UESS,221
UIKK,UITT,173
USRK,USRR,111
UNKI,UNIM,256
UHKK,UHHH,244
UERL,UERR,206
UEMM,UEEE,11
UHPN,UHPZ,44
UHMO,UHPZ,321
UHPM,UHPP,168
UERR,UENS,190
UEMA,UEMT,212
UNIM,UNII,157
USMM,USMU,186
ULAM,ULDW,249
UELL,UHBW,181
UIUN,UIKK,238
UHNN,UHNB,87
UHPX,UHPK,241
UHSN,UHSH,193
USRO,USRK,116
UENN,UENI,98
UHQO,ZD5W,183
UEMO,UENS,250
UERO,UERP,236
UHMN,UHMW,375
UHMF,UHMS,177
UHPD,UHPL,182
UHSH,UHNN,153
UHOO,UHMM,435
UHPL,UHPG,159
ZD5W,UHQO,183
UHPA,UHPT,170
UHMP,UHMK,280
UNIP,UNIS,212
UERP,UERA,53
UHMD,UHML,170
USDA,USDM,83
UEBS,UEBB,182
UEMS,UEMM,233
UERS,UERO,385
UNIS,UNIP,212
UHMW,UHMF,190
UHMS,UHMF,177
UHPS,UHPM,172
ULAS,ULAA,241
UESK,UESU,229
UENS,UENN,129
UIKG,UIKB,172
UECT,UIKE,226
USDS,USMU,140
UHPG,UHPU,141
UEST,UEBT,310
UHPT,UHPA,170
USDO,USDS,229
UNIT,UNIB,360
UOTT,UOII,191
UHBW,UELL,181
UUYS,ULAM,260
UHPK,UHPX,241
UEBT,UEBD,178
UITT,UIKK,173
UEMU,UEMH,299
UEMT,UEMA,212
UHPU,UHPG,141
USDM,USDA,83
UEMH,UEMU,299
UOHH,UERS,400
UHNH,UHNN,124
UIAR,UIKG,213
UESS,UHMK,221
UESO,UESG,239
UHHY,UHBP,236
UHSK,UHSS,260
HC3Y,UHSM,92
UHBP,UHHY,236
UHSM,HC3Y,92
USMQ,USMU,222
UHSI,HC3Y,178
