ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UEEA,58.603433333333,125.40761666667,694.0,0,3,АН,False,3340,11.45,2.95,0,2
UHNA,56.432105555556,138.04547777778,5.0,793,3,АН,False,2394,33.83,12.66,0,3
UHBB,50.4254667,127.4124667,195.0,919,1,УА,True,398705,4188.3,360.2,71400,1
UIKB,57.864416666667,114.23845,280.0,660,3,АН,False,51910,774.73,123.33,56276,2
UHHG,54.710802777778,128.86081111111,413.0,482,3,АН,False,0,0.0,0.0,0,3
UENI,63.459033333333,120.26883333333,135.0,607,3,АН,False,3014,9.98,2.4,0,2
UENW,63.7572,121.69193333333,112.0,607,3,АН,True,4639,12.86,5.24,0,1
UEVV,66.795433333333,123.36255,96.0,918,3,АН,False,10908,160.28,19.62,0,2
UHBE,53.688161111111,127.09108611111,283.0,557,3,АН,True,2136,16.19,13.42,65833,1
UERL,60.723583333333,114.82536666667,246.0,640,3,АН,False,57341,775.73,155.47,0,2
UEMM,62.108008333333,129.56426111111,198.0,452,3,АН,False,10672,295.96,18.87,0,2
UERR,62.5346667,114.0389833,361.0,760,3,АН,True,329446,11075.36,788.54,68280,1
UELL,56.9139167,124.9137833,857.0,190,3,АН,True,115336,279.4,119.0,0,1
UENN,63.296966666667,118.34286666667,118.0,647,3,АН,False,20460,30.39,73.6,0,2
UEMO,60.4009,120.47118333333,230.0,343,3,АН,False,33653,70.1,96.73,0,2
UEMS,63.95915,127.42121666667,64.0,606,3,АН,False,1598,4.9,14.32,0,2
UENS,62.186,117.6348667,140.0,584,3,АН,False,11303,21.55,58.5,0,2
UIKG,56.362075,114.92983333333,496.0,675,3,АН,False,12474,32.02,9.78,0,2
UECT,59.881666666667,111.04555,405.0,830,3,АН,True,265485,816.71,0.0,75529,1
UHBW,55.284994444444,124.77904444444,616.0,371,1,АН,True,5794,0.85,0.0,65833,1
UEMU,60.35695,134.436375,171.0,547,3,АН,False,10676,79.6,30.4,0,2
UEMH,62.789166666667,136.85501666667,286.0,778,3,АН,False,1889,14.76,10.24,0,2
UIAR,56.914383333333,118.27028333333,711.0,464,3,АН,True,9035,43.67,16.4,0,1
UHHY,54.696986111111,135.28731666667,9.0,744,3,АН,False,3765,28.08,16.64,0,3
UHBP,53.076905555556,132.95105277778,543.0,774,3,АН,False,385,2.003,0.0,0,2
UEEE,62.094033333333,129.77613333333,100.0,457,3,УА,True,902463,10858.05,2225.73,73227,1
