ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UEEA,58.603433333333,125.40761666667,694.0,778,3,АН,False,3340,11.45,2.95,0,2
UHNA,56.432105555556,138.04547777778,5.0,711,3,АН,False,2394,33.83,12.66,0,3
UEBB,67.647783333333,134.69371666667,213.0,550,3,АН,False,29314,864.8,67.33,0,2
UESG,68.557097222222,146.23116388889,27.0,772,2,АН,False,11884,271.39,21.25,0,2
UENI,63.459033333333,120.26883333333,135.0,837,3,АН,False,3014,9.98,2.4,0,2
UENW,63.7572,121.69193333333,112.0,766,3,АН,True,4639,12.86,5.24,0,1
UEBD,69.392580555556,139.88888055556,280.0,748,2,АН,False,14213,438.73,51.75,0,2
UEVV,66.795433333333,123.36255,96.0,779,3,АН,False,10908,160.28,19.62,0,2
UESU,65.748666666667,150.8882,37.0,753,3,АН,False,8073,153.23,36.0,0,2
UHMM,59.9109833,150.7204667,175.0,806,3,УА,True,376794,8309.0,1318.0,96958,1
UEMM,62.108008333333,129.56426111111,198.0,383,3,АН,False,10672,295.96,18.87,0,2
UEMA,66.451355555556,143.26090555556,200.0,509,3,АН,False,10143,158.7,27.0,0,2
UELL,56.9139167,124.9137833,857.0,933,3,АН,True,115336,279.4,119.0,0,1
UENN,63.296966666667,118.34286666667,118.0,935,3,АН,False,20460,30.39,73.6,0,2
UEMO,60.4009,120.47118333333,230.0,906,3,АН,False,33653,70.1,96.73,0,2
UHMF,62.458791666667,155.74812222222,529.0,966,3,АН,False,7015,219.37,0.0,73600,2
UHOO,59.4106167,143.0567167,14.0,503,3,АН,True,27777,1046.58,84.8,0,1
UEBS,67.792558333333,130.39040833333,505.0,633,3,АН,False,6251,225.21,15.48,0,2
UEMS,63.95915,127.42121666667,64.0,489,3,АН,False,1598,4.9,14.32,0,2
UHMS,62.919722222222,152.42194444444,208.0,790,3,АН,True,2008,102.79,0.0,0,1
UESK,67.4746,153.7297,19.0,944,2,АН,False,21468,784.63,72.89,0,2
UENS,62.186,117.6348667,140.0,989,3,АН,False,11303,21.55,58.5,0,2
UEBT,70.010911111111,135.64345833333,100.0,807,2,АН,False,4039,248.52,9.35,0,2
UEMU,60.35695,134.436375,171.0,299,3,АН,False,10676,79.6,30.4,0,2
UEMT,64.549983333333,143.11411388889,525.0,366,3,АН,False,12484,33.65,66.08,0,2
UEMH,62.789166666667,136.85501666667,286.0,0,3,АН,False,1889,14.76,10.24,0,2
UESO,70.625247222222,147.90034166667,51.0,997,2,АН,False,6592,253.0,22.25,0,2
UHHY,54.696986111111,135.28731666667,9.0,905,3,АН,False,3765,28.08,16.64,0,3
UEEE,62.094033333333,129.77613333333,100.0,373,3,УА,True,902463,10858.05,2225.73,73227,1
