ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UERA,65.960833333333,111.54504722222,666.0,780,3,АН,False,1489,88.41,0.0,0,2
UEEA,58.603433333333,125.40761666667,694.0,606,3,АН,False,3340,11.45,2.95,0,2
UEBB,67.647783333333,134.69371666667,213.0,528,3,АН,False,29314,864.8,67.33,0,2
UESG,68.557097222222,146.23116388889,27.0,982,2,АН,False,11884,271.39,21.25,0,2
UIKB,57.864416666667,114.23845,280.0,982,3,АН,False,51910,774.73,123.33,56276,2
UENI,63.459033333333,120.26883333333,135.0,357,3,АН,False,3014,9.98,2.4,0,2
UENW,63.7572,121.69193333333,112.0,282,3,АН,True,4639,12.86,5.24,0,1
UEBD,69.392580555556,139.88888055556,280.0,816,2,АН,False,14213,438.73,51.75,0,2
UEVV,66.795433333333,123.36255,96.0,368,3,АН,False,10908,160.28,19.62,0,2
UERL,60.723583333333,114.82536666667,246.0,743,3,АН,False,57341,775.73,155.47,0,2
UEMM,62.108008333333,129.56426111111,198.0,233,3,АН,False,10672,295.96,18.87,0,2
UERR,62.5346667,114.0389833,361.0,689,3,АН,True,329446,11075.36,788.54,68280,1
UEMA,66.451355555556,143.26090555556,200.0,789,3,АН,False,10143,158.7,27.0,0,2
UELL,56.9139167,124.9137833,857.0,796,3,АН,True,115336,279.4,119.0,0,1
UENN,63.296966666667,118.34286666667,118.0,455,3,АН,False,20460,30.39,73.6,0,2
UEMO,60.4009,120.47118333333,230.0,536,3,АН,False,33653,70.1,96.73,0,2
UERO,68.51475,112.47993333333,231.0,838,3,АН,False,10388,214.51,19.53,0,2
UHOO,59.4106167,143.0567167,14.0,966,3,АН,True,27777,1046.58,84.8,0,1
UERP,66.4002667,112.0301833,519.0,768,2,АН,True,58237,502.76,21.33,0,1
UEBS,67.792558333333,130.39040833333,505.0,448,3,АН,False,6251,225.21,15.48,0,2
UEMS,63.95915,127.42121666667,64.0,0,3,АН,False,1598,4.9,14.32,0,2
UENS,62.186,117.6348667,140.0,532,3,АН,False,11303,21.55,58.5,0,2
UECT,59.881666666667,111.04555,405.0,969,3,АН,True,265485,816.71,0.0,75529,1
UEST,71.696616666667,128.90313333333,9.0,865,2,АН,True,17253,517.8,74.28,0,1
UHBW,55.284994444444,124.77904444444,616.0,977,1,АН,True,5794,0.85,0.0,65833,1
UEBT,70.010911111111,135.64345833333,100.0,762,2,АН,False,4039,248.52,9.35,0,2
UEMU,60.35695,134.436375,171.0,542,3,АН,False,10676,79.6,30.4,0,2
UEMT,64.549983333333,143.11411388889,525.0,761,3,АН,False,12484,33.65,66.08,0,2
UEMH,62.789166666667,136.85501666667,286.0,489,3,АН,False,1889,14.76,10.24,0,2
UIAR,56.914383333333,118.27028333333,711.0,930,3,АН,True,9035,43.67,16.4,0,1
UEEE,62.094033333333,129.77613333333,100.0,239,3,УА,True,902463,10858.05,2225.73,73227,1
