ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UEEA,58.603433333333,125.40761666667,694.0,547,3,АН,False,3340,11.45,2.95,0,2
UHNA,56.432105555556,138.04547777778,5.0,485,3,АН,False,2394,33.83,12.66,0,3
UEBB,67.647783333333,134.69371666667,213.0,812,3,АН,False,29314,864.8,67.33,0,2
UHNB,52.381883333333,140.44971666667,49.0,961,3,АН,True,1235,2.13,2.1,0,1
UHHG,54.710802777778,128.86081111111,413.0,711,3,АН,False,0,0.0,0.0,0,3
UENI,63.459033333333,120.26883333333,135.0,818,3,АН,False,3014,9.98,2.4,0,2
UENW,63.7572,121.69193333333,112.0,764,3,АН,True,4639,12.86,5.24,0,1
UEVV,66.795433333333,123.36255,96.0,901,3,АН,False,10908,160.28,19.62,0,2
UHBE,53.688161111111,127.09108611111,283.0,865,3,АН,True,2136,16.19,13.42,65833,1
UHMM,59.9109833,150.7204667,175.0,904,3,УА,True,376794,8309.0,1318.0,96958,1
UEMM,62.108008333333,129.56426111111,198.0,326,3,АН,False,10672,295.96,18.87,0,2
UEMA,66.451355555556,143.26090555556,200.0,808,3,АН,False,10143,158.7,27.0,0,2
UELL,56.9139167,124.9137833,857.0,672,3,АН,True,115336,279.4,119.0,0,1
UHNN,53.154166666667,140.65111111111,57.0,886,3,АН,True,35415,46.62,135.34,86572,1
UENN,63.296966666667,118.34286666667,118.0,906,3,АН,False,20460,30.39,73.6,0,2
UEMO,60.4009,120.47118333333,230.0,768,3,АН,False,33653,70.1,96.73,0,2
UHSH,53.517722222222,142.87996388889,38.0,917,3,АН,False,44347,86.53,28.04,96151,2
UHOO,59.4106167,143.0567167,14.0,493,3,АН,True,27777,1046.58,84.8,0,1
UEBS,67.792558333333,130.39040833333,505.0,851,3,АН,False,6251,225.21,15.48,0,2
UEMS,63.95915,127.42121666667,64.0,542,3,АН,False,1598,4.9,14.32,0,2
UHMS,62.919722222222,152.42194444444,208.0,991,3,АН,True,2008,102.79,0.0,0,1
UENS,62.186,117.6348667,140.0,921,3,АН,False,11303,21.55,58.5,0,2
UHBW,55.284994444444,124.77904444444,616.0,803,1,АН,True,5794,0.85,0.0,65833,1
UEMU,60.35695,134.436375,171.0,0,3,АН,False,10676,79.6,30.4,0,2
UEMT,64.549983333333,143.11411388889,525.0,646,3,АН,False,12484,33.65,66.08,0,2
UEMH,62.789166666667,136.85501666667,286.0,299,3,АН,False,1889,14.76,10.24,0,2
UHNH,52.975472222222,138.81803888889,19.0,864,3,АН,False,730,3.28,4.39,0,3
UHHY,54.696986111111,135.28731666667,9.0,632,3,АН,False,3765,28.08,16.64,0,3
UHBP,53.076905555556,132.95105277778,543.0,815,3,АН,False,385,2.003,0.0,0,2
UEEE,62.094033333333,129.77613333333,100.0,316,3,УА,True,902463,10858.05,2225.73,73227,1
