ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UERA,65.960833333333,111.54504722222,666.0,287,3,АН,False,1489,88.41,0.0,0,2
UEBB,67.647783333333,134.69371666667,213.0,925,3,АН,False,29314,864.8,67.33,0,2
UENI,63.459033333333,120.26883333333,135.0,664,3,АН,False,3014,9.98,2.4,0,2
UENW,63.7572,121.69193333333,112.0,672,3,АН,True,4639,12.86,5.24,0,1
UIKE,61.27515,108.02978333333,303.0,833,3,АН,False,7865,85.78,18.3,0,2
UEVV,66.795433333333,123.36255,96.0,499,3,АН,False,10908,160.28,19.62,0,2
UERL,60.723583333333,114.82536666667,246.0,875,3,АН,False,57341,775.73,155.47,0,2
UERR,62.5346667,114.0389833,361.0,670,3,АН,True,329446,11075.36,788.54,68280,1
UENN,63.296966666667,118.34286666667,118.0,639,3,АН,False,20460,30.39,73.6,0,2
UEMO,60.4009,120.47118333333,230.0,981,3,АН,False,33653,70.1,96.73,0,2
UERO,68.51475,112.47993333333,231.0,0,3,АН,False,10388,214.51,19.53,0,2
UERP,66.4002667,112.0301833,519.0,236,2,АН,True,58237,502.76,21.33,0,1
UEBS,67.792558333333,130.39040833333,505.0,745,3,АН,False,6251,225.21,15.48,0,2
UEMS,63.95915,127.42121666667,64.0,838,3,АН,False,1598,4.9,14.32,0,2
UERS,71.927886111111,114.0795,14.0,385,2,АН,False,13704,253.5,17.5,0,2
UENS,62.186,117.6348667,140.0,744,3,АН,False,11303,21.55,58.5,0,2
UECT,59.881666666667,111.04555,405.0,964,3,АН,True,265485,816.71,0.0,75529,1
UEST,71.696616666667,128.90313333333,9.0,714,2,АН,True,17253,517.8,74.28,0,1
UNIT,64.3339,100.4324,614.0,709,3,АН,True,2066,10.22,5.65,63305,1
UEBT,70.010911111111,135.64345833333,100.0,924,2,АН,False,4039,248.52,9.35,0,2
UOHH,71.9784,102.49318333333,30.0,538,2,АН,True,23522,2980.11,44.6,90156,1
