ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UEBB,67.647783333333,134.69371666667,213.0,619,3,АН,False,29314,864.8,67.33,0,2
UESG,68.557097222222,146.23116388889,27.0,239,2,АН,False,11884,271.39,21.25,0,2
UEBD,69.392580555556,139.88888055556,280.0,334,2,АН,False,14213,438.73,51.75,0,2
UESU,65.748666666667,150.8882,37.0,557,3,АН,False,8073,153.23,36.0,0,2
UHMK,67.847297222222,166.13791944444,190.0,781,2,АН,False,23349,1570.0,210.0,0,2
UEMA,66.451355555556,143.26090555556,200.0,502,3,АН,False,10143,158.7,27.0,0,2
UHMN,65.238813888889,160.54523055556,263.0,798,3,АН,False,1792,154.0,10.0,0,2
UHMF,62.458791666667,155.74812222222,529.0,973,3,АН,False,7015,219.37,0.0,73600,2
UHMP,69.7834667,170.5965833,3.0,858,2,АН,True,24226,959.0,113.0,0,1
UEBS,67.792558333333,130.39040833333,505.0,758,3,АН,False,6251,225.21,15.48,0,2
UHMS,62.919722222222,152.42194444444,208.0,881,3,АН,True,2008,102.79,0.0,0,1
UESK,67.4746,153.7297,19.0,421,2,АН,False,21468,784.63,72.89,0,2
UEST,71.696616666667,128.90313333333,9.0,692,2,АН,True,17253,517.8,74.28,0,1
UEBT,70.010911111111,135.64345833333,100.0,465,2,АН,False,4039,248.52,9.35,0,2
UEMT,64.549983333333,143.11411388889,525.0,707,3,АН,False,12484,33.65,66.08,0,2
UEMH,62.789166666667,136.85501666667,286.0,997,3,АН,False,1889,14.76,10.24,0,2
UESS,68.741283333333,161.33971666667,5.0,560,2,АН,False,6829,148.87,42.43,0,1
UESO,70.625247222222,147.90034166667,51.0,0,2,АН,False,6592,253.0,22.25,0,2
