ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UERA,65.960833333333,111.54504722222,666.0,942,3,АН,False,1489,88.41,0.0,0,2
UEBB,67.647783333333,134.69371666667,213.0,503,3,АН,False,29314,864.8,67.33,0,2
UESG,68.557097222222,146.23116388889,27.0,741,2,АН,False,11884,271.39,21.25,0,2
UENI,63.459033333333,120.26883333333,135.0,987,3,АН,False,3014,9.98,2.4,0,2
UENW,63.7572,121.69193333333,112.0,935,3,АН,True,4639,12.86,5.24,0,1
UEBD,69.392580555556,139.88888055556,280.0,481,2,АН,False,14213,438.73,51.75,0,2
UEVV,66.795433333333,123.36255,96.0,588,3,АН,False,10908,160.28,19.62,0,2
UEMA,66.451355555556,143.26090555556,200.0,814,3,АН,False,10143,158.7,27.0,0,2
UERO,68.51475,112.47993333333,231.0,714,3,АН,False,10388,214.51,19.53,0,2
UERP,66.4002667,112.0301833,519.0,890,2,АН,True,58237,502.76,21.33,0,1
UEBS,67.792558333333,130.39040833333,505.0,439,3,АН,False,6251,225.21,15.48,0,2
UEMS,63.95915,127.42121666667,64.0,865,3,АН,False,1598,4.9,14.32,0,2
UERS,71.927886111111,114.0795,14.0,515,2,АН,False,13704,253.5,17.5,0,2
UEST,71.696616666667,128.90313333333,9.0,0,2,АН,True,17253,517.8,74.28,0,1
UEBT,70.010911111111,135.64345833333,100.0,310,2,АН,False,4039,248.52,9.35,0,2
UEMT,64.549983333333,143.11411388889,525.0,987,3,АН,False,12484,33.65,66.08,0,2
UOHH,71.9784,102.49318333333,30.0,912,2,АН,True,23522,2980.11,44.6,90156,1
UESO,70.625247222222,147.90034166667,51.0,692,2,АН,False,6592,253.0,22.25,0,2
