ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UEEA,58.603433333333,125.40761666667,694.0,919,3,АН,False,3340,11.45,2.95,0,2
UHNA,56.432105555556,138.04547777778,5.0,970,3,АН,False,2394,33.83,12.66,0,3
UHBB,50.4254667,127.4124667,195.0,0,1,УА,True,398705,4188.3,360.2,71400,1
UHNB,52.381883333333,140.44971666667,49.0,931,3,АН,True,1235,2.13,2.1,0,1
UHHG,54.710802777778,128.86081111111,413.0,486,3,АН,False,0,0.0,0.0,0,3
UHWW,43.3989667,132.148,18.0,859,1,УА,True,2171922,23317.2,2176.96,65310,1
UHBE,53.688161111111,127.09108611111,283.0,363,3,АН,True,2136,16.19,13.42,65833,1
UHKK,50.4093333,136.9352833,32.0,676,3,АН,True,15182,2032.66,113.57,51491,1
UELL,56.9139167,124.9137833,857.0,740,3,АН,True,115336,279.4,119.0,0,1
UHNN,53.154166666667,140.65111111111,57.0,960,3,АН,True,35415,46.62,135.34,86572,1
UHBW,55.284994444444,124.77904444444,616.0,569,1,АН,True,5794,0.85,0.0,65833,1
UHHH,48.5283333,135.1883167,74.0,601,1,УА,True,2047092,24075.79,2161.88,64262,1
UHNH,52.975472222222,138.81803888889,19.0,836,3,АН,False,730,3.28,4.39,0,3
UIAR,56.914383333333,118.27028333333,711.0,940,3,АН,True,9035,43.67,16.4,0,1
UIAA,52.0262333,113.3051,692.0,999,1,УА,True,358674,3290.69,336.09,64584,1
UHHY,54.696986111111,135.28731666667,9.0,714,3,АН,False,3765,28.08,16.64,0,3
UHBP,53.076905555556,132.95105277778,543.0,482,3,АН,False,385,2.003,0.0,0,2
