ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UEEA,58.603433333333,125.40761666667,694.0,557,3,АН,False,3340,11.45,2.95,0,2
UHNA,56.432105555556,138.04547777778,5.0,762,3,АН,False,2394,33.83,12.66,0,3
UHBB,50.4254667,127.4124667,195.0,363,1,УА,True,398705,4188.3,360.2,71400,1
UHNB,52.381883333333,140.44971666667,49.0,906,3,АН,True,1235,2.13,2.1,0,1
UIKB,57.864416666667,114.23845,280.0,928,3,АН,False,51910,774.73,123.33,56276,2
UHHG,54.710802777778,128.86081111111,413.0,162,3,АН,False,0,0.0,0.0,0,3
UHBE,53.688161111111,127.09108611111,283.0,0,3,АН,True,2136,16.19,13.42,65833,1
UHKK,50.4093333,136.9352833,32.0,766,3,АН,True,15182,2032.66,113.57,51491,1
UEMM,62.108008333333,129.56426111111,198.0,948,3,АН,False,10672,295.96,18.87,0,2
UELL,56.9139167,124.9137833,857.0,384,3,АН,True,115336,279.4,119.0,0,1
UHNN,53.154166666667,140.65111111111,57.0,902,3,АН,True,35415,46.62,135.34,86572,1
UEMO,60.4009,120.47118333333,230.0,847,3,АН,False,33653,70.1,96.73,0,2
UIKG,56.362075,114.92983333333,496.0,831,3,АН,False,12474,32.02,9.78,0,2
UHBW,55.284994444444,124.77904444444,616.0,232,1,АН,True,5794,0.85,0.0,65833,1
UEMU,60.35695,134.436375,171.0,865,3,АН,False,10676,79.6,30.4,0,2
UHHH,48.5283333,135.1883167,74.0,805,1,УА,True,2047092,24075.79,2161.88,64262,1
UHNH,52.975472222222,138.81803888889,19.0,784,3,АН,False,730,3.28,4.39,0,3
UIAR,56.914383333333,118.27028333333,711.0,664,3,АН,True,9035,43.67,16.4,0,1
UIAA,52.0262333,113.3051,692.0,945,1,УА,True,358674,3290.69,336.09,64584,1
UHHY,54.696986111111,135.28731666667,9.0,546,3,АН,False,3765,28.08,16.64,0,3
UHBP,53.076905555556,132.95105277778,543.0,395,3,АН,False,385,2.003,0.0,0,2
UEEE,62.094033333333,129.77613333333,100.0,949,3,УА,True,902463,10858.05,2225.73,73227,1
