ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UEEA,58.603433333333,125.40761666667,694.0,744,3,АН,False,3340,11.45,2.95,0,2
UHNA,56.432105555556,138.04547777778,5.0,259,3,АН,False,2394,33.83,12.66,0,3
UHBB,50.4254667,127.4124667,195.0,714,1,УА,True,398705,4188.3,360.2,71400,1
UHNB,52.381883333333,140.44971666667,49.0,428,3,АН,True,1235,2.13,2.1,0,1
UHHG,54.710802777778,128.86081111111,413.0,414,3,АН,False,0,0.0,0.0,0,3
UHBE,53.688161111111,127.09108611111,283.0,546,3,АН,True,2136,16.19,13.42,65833,1
UHKK,50.4093333,136.9352833,32.0,490,3,АН,True,15182,2032.66,113.57,51491,1
UEMM,62.108008333333,129.56426111111,198.0,889,3,АН,False,10672,295.96,18.87,0,2
UELL,56.9139167,124.9137833,857.0,694,3,АН,True,115336,279.4,119.0,0,1
UHNN,53.154166666667,140.65111111111,57.0,391,3,АН,True,35415,46.62,135.34,86572,1
UHSN,51.783983333333,143.14178333333,39.0,615,3,АН,True,40938,0.0,0.0,92548,1
UHSH,53.517722222222,142.87996388889,38.0,513,3,АН,False,44347,86.53,28.04,96151,2
UHOO,59.4106167,143.0567167,14.0,704,3,АН,True,27777,1046.58,84.8,0,1
UHBW,55.284994444444,124.77904444444,616.0,675,1,АН,True,5794,0.85,0.0,65833,1
UEMU,60.35695,134.436375,171.0,632,3,АН,False,10676,79.6,30.4,0,2
UHHH,48.5283333,135.1883167,74.0,686,1,УА,True,2047092,24075.79,2161.88,64262,1
UEMH,62.789166666667,136.85501666667,286.0,905,3,АН,False,1889,14.76,10.24,0,2
UHNH,52.975472222222,138.81803888889,19.0,301,3,АН,False,730,3.28,4.39,0,3
UHHY,54.696986111111,135.28731666667,9.0,0,3,АН,False,3765,28.08,16.64,0,3
UHSK,49.1906333,142.08315,17.0,769,3,АН,True,7939,6.54,0.0,0,1
UHBP,53.076905555556,132.95105277778,543.0,236,3,АН,False,385,2.003,0.0,0,2
UEEE,62.094033333333,129.77613333333,100.0,883,3,УА,True,902463,10858.05,2225.73,73227,1
