ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UHNA,56.432105555556,138.04547777778,5.0,674,3,АН,False,2394,33.83,12.66,0,3
UHBB,50.4254667,127.4124667,195.0,676,1,УА,True,398705,4188.3,360.2,71400,1
UHNB,52.381883333333,140.44971666667,49.0,328,3,АН,True,1235,2.13,2.1,0,1
UHHG,54.710802777778,128.86081111111,413.0,726,3,АН,False,0,0.0,0.0,0,3
UHWW,43.3989667,132.148,18.0,860,1,УА,True,2171922,23317.2,2176.96,65310,1
UHBE,53.688161111111,127.09108611111,283.0,766,3,АН,True,2136,16.19,13.42,65833,1
UHKK,50.4093333,136.9352833,32.0,0,3,АН,True,15182,2032.66,113.57,51491,1
UHNN,53.154166666667,140.65111111111,57.0,398,3,АН,True,35415,46.62,135.34,86572,1
UHSN,51.783983333333,143.14178333333,39.0,460,3,АН,True,40938,0.0,0.0,92548,1
UHSH,53.517722222222,142.87996388889,38.0,535,3,АН,False,44347,86.53,28.04,96151,2
UHBW,55.284994444444,124.77904444444,616.0,980,1,АН,True,5794,0.85,0.0,65833,1
UHHH,48.5283333,135.1883167,74.0,244,1,УА,True,2047092,24075.79,2161.88,64262,1
UHNH,52.975472222222,138.81803888889,19.0,313,3,АН,False,730,3.28,4.39,0,3
UHHY,54.696986111111,135.28731666667,9.0,490,3,АН,False,3765,28.08,16.64,0,3
UHSK,49.1906333,142.08315,17.0,394,3,АН,True,7939,6.54,0.0,0,1
UHBP,53.076905555556,132.95105277778,543.0,404,3,АН,False,385,2.003,0.0,0,2
UHSM,43.961061111111,145.68497777778,216.0,975,3,АН,True,24348,65.59,25.7,70897,1
UHSS,46.885483333333,142.71731666667,18.0,578,3,УА,True,985211,10556.14,1251.41,79460,1
