ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UHNA,56.432105555556,138.04547777778,5.0,838,3,АН,False,2394,33.83,12.66,0,3
UESG,68.557097222222,146.23116388889,27.0,987,2,АН,False,11884,271.39,21.25,0,2
UESU,65.748666666667,150.8882,37.0,650,3,АН,False,8073,153.23,36.0,0,2
UHPZ,62.470333333333,166.19521666667,50.0,877,3,АН,False,0,0.0,0.0,0,4
UHMM,59.9109833,150.7204667,175.0,0,3,УА,True,376794,8309.0,1318.0,96958,1
UHPN,62.485775,165.33897777778,18.0,834,3,АН,False,1264,1.07,11.76,0,3
UHPM,54.681555555556,158.55058055556,170.0,748,3,АН,False,30,0.0,0.0,0,2
UEMA,66.451355555556,143.26090555556,200.0,818,3,АН,False,10143,158.7,27.0,0,2
UHNN,53.154166666667,140.65111111111,57.0,972,3,АН,True,35415,46.62,135.34,86572,1
UHMN,65.238813888889,160.54523055556,263.0,777,3,АН,False,1792,154.0,10.0,0,2
UHMF,62.458791666667,155.74812222222,529.0,391,3,АН,False,7015,219.37,0.0,73600,2
UHPD,59.2235833,163.0663167,5.0,701,3,АН,True,8124,37.11,63.83,0,1
UHSH,53.517722222222,142.87996388889,38.0,857,3,АН,False,44347,86.53,28.04,96151,2
UHOO,59.4106167,143.0567167,14.0,435,3,АН,True,27777,1046.58,84.8,0,1
UHPL,59.082102777778,159.89120277778,25.0,527,3,АН,True,9570,20.09,81.41,0,1
UHPP,53.1701833,158.4534833,40.0,887,3,УА,True,658689,10020.97,1635.3,67717,1
UHMW,61.9222334,159.2295667,6.0,512,3,АН,False,7745,41.9,24.58,0,2
UHMS,62.919722222222,152.42194444444,208.0,347,3,АН,True,2008,102.79,0.0,0,1
UHPS,54.307222222222,155.97444444444,28.0,700,3,АН,False,807,3.59,8.72,0,3
UESK,67.4746,153.7297,19.0,855,2,АН,False,21468,784.63,72.89,0,2
UHPG,57.7842,158.73006666667,157.0,519,3,АН,False,4047,14.17,23.51,0,2
UHPT,60.38505,166.02572,1.0,849,3,АН,False,32928,65.47,254.82,0,3
UHPK,56.2388333,162.6900833,20.0,814,3,АН,False,1248,0.22,3.81,0,2
UEMU,60.35695,134.436375,171.0,904,3,АН,False,10676,79.6,30.4,0,2
UEMT,64.549983333333,143.11411388889,525.0,650,3,АН,False,12484,33.65,66.08,0,2
UHPU,57.100327777778,156.73745277778,4.0,469,3,АН,False,3696,15.5,18.31,0,3
UEMH,62.789166666667,136.85501666667,286.0,806,3,АН,False,1889,14.76,10.24,0,2
