ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UHMA,64.73485,177.74155,59.0,640,2,УА,True,95538,2164.34,1291.0,73600,1
UESG,68.557097222222,146.23116388889,27.0,970,2,АН,False,11884,271.39,21.25,0,2
UHMR,63.02125,179.2938667,20.0,846,2,АН,False,2534,23.0,40.0,0,2
UHME,66.358388888889,-179.10833888889,10.0,573,2,АН,False,11354,80.0,106.0,0,3
UHML,65.58095,-170.99915,1.0,904,2,АН,False,7344,77.0,125.0,0,2
UESU,65.748666666667,150.8882,37.0,940,3,АН,False,8073,153.23,36.0,0,2
UHPZ,62.470333333333,166.19521666667,50.0,838,3,АН,False,0,0.0,0.0,0,4
UHMK,67.847297222222,166.13791944444,190.0,280,2,АН,False,23349,1570.0,210.0,0,2
UHPN,62.485775,165.33897777778,18.0,846,3,АН,False,1264,1.07,11.76,0,3
UHMO,64.665391666667,170.41100833333,26.0,570,3,АН,False,3332,105.0,39.0,0,2
UHMN,65.238813888889,160.54523055556,263.0,662,3,АН,False,1792,154.0,10.0,0,2
UHMP,69.7834667,170.5965833,3.0,0,2,АН,True,24226,959.0,113.0,0,1
UHMD,64.379016666667,-173.24278888889,22.0,920,2,АН,False,6200,32.0,87.0,0,2
UESK,67.4746,153.7297,19.0,730,2,АН,False,21468,784.63,72.89,0,2
UESS,68.741283333333,161.33971666667,5.0,383,2,АН,False,6829,148.87,42.43,0,1
UESO,70.625247222222,147.90034166667,51.0,858,2,АН,False,6592,253.0,22.25,0,2
