ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UHNA,56.432105555556,138.04547777778,5.0,387,3,АН,False,2394,33.83,12.66,0,3
UHBB,50.4254667,127.4124667,195.0,836,1,УА,True,398705,4188.3,360.2,71400,1
UHNB,52.381883333333,140.44971666667,49.0,128,3,АН,True,1235,2.13,2.1,0,1
UHHG,54.710802777778,128.86081111111,413.0,682,3,АН,False,0,0.0,0.0,0,3
UHBE,53.688161111111,127.09108611111,283.0,784,3,АН,True,2136,16.19,13.42,65833,1
UHKK,50.4093333,136.9352833,32.0,313,3,АН,True,15182,2032.66,113.57,51491,1
UELL,56.9139167,124.9137833,857.0,990,3,АН,True,115336,279.4,119.0,0,1
UHNN,53.154166666667,140.65111111111,57.0,124,3,АН,True,35415,46.62,135.34,86572,1
UHSN,51.783983333333,143.14178333333,39.0,322,3,АН,True,40938,0.0,0.0,92548,1
UHSH,53.517722222222,142.87996388889,38.0,277,3,АН,False,44347,86.53,28.04,96151,2
UHOO,59.4106167,143.0567167,14.0,762,3,АН,True,27777,1046.58,84.8,0,1
UHBW,55.284994444444,124.77904444444,616.0,951,1,АН,True,5794,0.85,0.0,65833,1
UEMU,60.35695,134.436375,171.0,864,3,АН,False,10676,79.6,30.4,0,2
UHHH,48.5283333,135.1883167,74.0,556,1,УА,True,2047092,24075.79,2161.88,64262,1
UHNH,52.975472222222,138.81803888889,19.0,0,3,АН,False,730,3.28,4.39,0,3
UHHY,54.696986111111,135.28731666667,9.0,301,3,АН,False,3765,28.08,16.64,0,3
UHSK,49.1906333,142.08315,17.0,479,3,АН,True,7939,6.54,0.0,0,1
UHBP,53.076905555556,132.95105277778,543.0,393,3,АН,False,385,2.003,0.0,0,2
UHSS,46.885483333333,142.71731666667,18.0,732,3,УА,True,985211,10556.14,1251.41,79460,1
