ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UHNA,56.432105555556,138.04547777778,5.0,445,3,АН,False,2394,33.83,12.66,0,3
UHNB,52.381883333333,140.44971666667,49.0,799,3,АН,True,1235,2.13,2.1,0,1
UESU,65.748666666667,150.8882,37.0,811,3,АН,False,8073,153.23,36.0,0,2
UHMM,59.9109833,150.7204667,175.0,435,3,УА,True,376794,8309.0,1318.0,96958,1
UEMM,62.108008333333,129.56426111111,198.0,792,3,АН,False,10672,295.96,18.87,0,2
UEMA,66.451355555556,143.26090555556,200.0,784,3,АН,False,10143,158.7,27.0,0,2
UHNN,53.154166666667,140.65111111111,57.0,712,3,АН,True,35415,46.62,135.34,86572,1
UHSN,51.783983333333,143.14178333333,39.0,849,3,АН,True,40938,0.0,0.0,92548,1
UHMF,62.458791666667,155.74812222222,529.0,765,3,АН,False,7015,219.37,0.0,73600,2
UHSH,53.517722222222,142.87996388889,38.0,656,3,АН,False,44347,86.53,28.04,96151,2
UHOO,59.4106167,143.0567167,14.0,0,3,АН,True,27777,1046.58,84.8,0,1
UHPL,59.082102777778,159.89120277778,25.0,958,3,АН,True,9570,20.09,81.41,0,1
UEMS,63.95915,127.42121666667,64.0,966,3,АН,False,1598,4.9,14.32,0,2
UHMW,61.9222334,159.2295667,6.0,924,3,АН,False,7745,41.9,24.58,0,2
UHMS,62.919722222222,152.42194444444,208.0,636,3,АН,True,2008,102.79,0.0,0,1
UHPS,54.307222222222,155.97444444444,28.0,968,3,АН,False,807,3.59,8.72,0,3
UHPG,57.7842,158.73006666667,157.0,926,3,АН,False,4047,14.17,23.51,0,2
UEMU,60.35695,134.436375,171.0,493,3,АН,False,10676,79.6,30.4,0,2
UEMT,64.549983333333,143.11411388889,525.0,572,3,АН,False,12484,33.65,66.08,0,2
UHPU,57.100327777778,156.73745277778,4.0,841,3,АН,False,3696,15.5,18.31,0,3
UEMH,62.789166666667,136.85501666667,286.0,503,3,АН,False,1889,14.76,10.24,0,2
UHNH,52.975472222222,138.81803888889,19.0,762,3,АН,False,730,3.28,4.39,0,3
UHHY,54.696986111111,135.28731666667,9.0,704,3,АН,False,3765,28.08,16.64,0,3
UHBP,53.076905555556,132.95105277778,543.0,941,3,АН,False,385,2.003,0.0,0,2
UEEE,62.094033333333,129.77613333333,100.0,781,3,УА,True,902463,10858.05,2225.73,73227,1
