ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UESU,65.748666666667,150.8882,37.0,977,3,АН,False,8073,153.23,36.0,0,2
UHPZ,62.470333333333,166.19521666667,50.0,666,3,АН,False,0,0.0,0.0,0,4
UHMM,59.9109833,150.7204667,175.0,519,3,УА,True,376794,8309.0,1318.0,96958,1
UHPN,62.485775,165.33897777778,18.0,639,3,АН,False,1264,1.07,11.76,0,3
UHMO,64.665391666667,170.41100833333,26.0,987,3,АН,False,3332,105.0,39.0,0,2
UHPM,54.681555555556,158.55058055556,170.0,345,3,АН,False,30,0.0,0.0,0,2
UHPX,55.178275,166.04849722222,52.0,535,3,АН,False,1863,4.54,10.84,0,3
UHQO,51.499183333333,156.54358333333,6.0,713,3,АН,False,13,0.04,0.48,0,3
UHMN,65.238813888889,160.54523055556,263.0,836,3,АН,False,1792,154.0,10.0,0,2
UHMF,62.458791666667,155.74812222222,529.0,546,3,АН,False,7015,219.37,0.0,73600,2
UHPD,59.2235833,163.0663167,5.0,299,3,АН,True,8124,37.11,63.83,0,1
UHOO,59.4106167,143.0567167,14.0,926,3,АН,True,27777,1046.58,84.8,0,1
UHPL,59.082102777778,159.89120277778,25.0,159,3,АН,True,9570,20.09,81.41,0,1
ZD5W,50.015766666667,155.39833333333,13.0,891,3,АН,False,0,0.0,0.0,0,3
UHPA,60.556205555556,169.11142777778,3.0,668,3,АН,False,1429,4.98,5.94,0,3
UHPP,53.1701833,158.4534833,40.0,513,3,УА,True,658689,10020.97,1635.3,67717,1
UHMW,61.9222334,159.2295667,6.0,461,3,АН,False,7745,41.9,24.58,0,2
UHMS,62.919722222222,152.42194444444,208.0,669,3,АН,True,2008,102.79,0.0,0,1
UHPS,54.307222222222,155.97444444444,28.0,423,3,АН,False,807,3.59,8.72,0,3
UHPG,57.7842,158.73006666667,157.0,0,3,АН,False,4047,14.17,23.51,0,2
UHPT,60.38505,166.02572,1.0,508,3,АН,False,32928,65.47,254.82,0,3
UHPK,56.2388333,162.6900833,20.0,295,3,АН,False,1248,0.22,3.81,0,2
UHPU,57.100327777778,156.73745277778,4.0,141,3,АН,False,3696,15.5,18.31,0,3
