ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UHMM,59.9109833,150.7204667,175.0,887,3,УА,True,376794,8309.0,1318.0,96958,1
UHPM,54.681555555556,158.55058055556,170.0,168,3,АН,False,30,0.0,0.0,0,2
UHPX,55.178275,166.04849722222,52.0,543,3,АН,False,1863,4.54,10.84,0,3
UHQO,51.499183333333,156.54358333333,6.0,226,3,АН,False,13,0.04,0.48,0,3
UHPD,59.2235833,163.0663167,5.0,731,3,АН,True,8124,37.11,63.83,0,1
UHPL,59.082102777778,159.89120277778,25.0,664,3,АН,True,9570,20.09,81.41,0,1
ZD5W,50.015766666667,155.39833333333,13.0,409,3,АН,False,0,0.0,0.0,0,3
UHPP,53.1701833,158.4534833,40.0,0,3,УА,True,658689,10020.97,1635.3,67717,1
UHMW,61.9222334,159.2295667,6.0,975,3,АН,False,7745,41.9,24.58,0,2
UHPS,54.307222222222,155.97444444444,28.0,206,3,АН,False,807,3.59,8.72,0,3
UHPG,57.7842,158.73006666667,157.0,513,3,АН,False,4047,14.17,23.51,0,2
UHPT,60.38505,166.02572,1.0,925,3,АН,False,32928,65.47,254.82,0,3
UHPK,56.2388333,162.6900833,20.0,437,3,АН,False,1248,0.22,3.81,0,2
UHPU,57.100327777778,156.73745277778,4.0,450,3,АН,False,3696,15.5,18.31,0,3
