ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UHMM,59.9109833,150.7204667,175.0,700,3,УА,True,376794,8309.0,1318.0,96958,1
UHPM,54.681555555556,158.55058055556,170.0,172,3,АН,False,30,0.0,0.0,0,2
UHPX,55.178275,166.04849722222,52.0,655,3,АН,False,1863,4.54,10.84,0,3
UHSN,51.783983333333,143.14178333333,39.0,903,3,АН,True,40938,0.0,0.0,92548,1
UHQO,51.499183333333,156.54358333333,6.0,314,3,АН,False,13,0.04,0.48,0,3
UHMF,62.458791666667,155.74812222222,529.0,908,3,АН,False,7015,219.37,0.0,73600,2
UHPD,59.2235833,163.0663167,5.0,697,3,АН,True,8124,37.11,63.83,0,1
UHSH,53.517722222222,142.87996388889,38.0,863,3,АН,False,44347,86.53,28.04,96151,2
UHOO,59.4106167,143.0567167,14.0,968,3,АН,True,27777,1046.58,84.8,0,1
UHPL,59.082102777778,159.89120277778,25.0,583,3,АН,True,9570,20.09,81.41,0,1
ZD5W,50.015766666667,155.39833333333,13.0,479,3,АН,False,0,0.0,0.0,0,3
UHPP,53.1701833,158.4534833,40.0,206,3,УА,True,658689,10020.97,1635.3,67717,1
UHMW,61.9222334,159.2295667,6.0,869,3,АН,False,7745,41.9,24.58,0,2
UHMS,62.919722222222,152.42194444444,208.0,980,3,АН,True,2008,102.79,0.0,0,1
UHPS,54.307222222222,155.97444444444,28.0,0,3,АН,False,807,3.59,8.72,0,3
UHPG,57.7842,158.73006666667,157.0,423,3,АН,False,4047,14.17,23.51,0,2
UHPT,60.38505,166.02572,1.0,905,3,АН,False,32928,65.47,254.82,0,3
UHPK,56.2388333,162.6900833,20.0,477,3,АН,False,1248,0.22,3.81,0,2
UHPU,57.100327777778,156.73745277778,4.0,314,3,АН,False,3696,15.5,18.31,0,3
