ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UHPZ,62.470333333333,166.19521666667,50.0,812,3,АН,False,0,0.0,0.0,0,4
UHPN,62.485775,165.33897777778,18.0,815,3,АН,False,1264,1.07,11.76,0,3
UHPM,54.681555555556,158.55058055556,170.0,483,3,АН,False,30,0.0,0.0,0,2
UHPX,55.178275,166.04849722222,52.0,0,3,АН,False,1863,4.54,10.84,0,3
UHQO,51.499183333333,156.54358333333,6.0,753,3,АН,False,13,0.04,0.48,0,3
UHPD,59.2235833,163.0663167,5.0,485,3,АН,True,8124,37.11,63.83,0,1
UHPL,59.082102777778,159.89120277778,25.0,572,3,АН,True,9570,20.09,81.41,0,1
ZD5W,50.015766666667,155.39833333333,13.0,920,3,АН,False,0,0.0,0.0,0,3
UHPA,60.556205555556,169.11142777778,3.0,625,3,АН,False,1429,4.98,5.94,0,3
UHPP,53.1701833,158.4534833,40.0,543,3,УА,True,658689,10020.97,1635.3,67717,1
UHMW,61.9222334,159.2295667,6.0,848,3,АН,False,7745,41.9,24.58,0,2
UHPS,54.307222222222,155.97444444444,28.0,655,3,АН,False,807,3.59,8.72,0,3
UHPG,57.7842,158.73006666667,157.0,535,3,АН,False,4047,14.17,23.51,0,2
UHPT,60.38505,166.02572,1.0,579,3,АН,False,32928,65.47,254.82,0,3
UHPK,56.2388333,162.6900833,20.0,241,3,АН,False,1248,0.22,3.81,0,2
UHPU,57.100327777778,156.73745277778,4.0,616,3,АН,False,3696,15.5,18.31,0,3
