ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UHNA,56.432105555556,138.04547777778,5.0,448,3,АН,False,2394,33.83,12.66,0,3
UHNB,52.381883333333,140.44971666667,49.0,206,3,АН,True,1235,2.13,2.1,0,1
UHHG,54.710802777778,128.86081111111,413.0,924,3,АН,False,0,0.0,0.0,0,3
UHKK,50.4093333,136.9352833,32.0,535,3,АН,True,15182,2032.66,113.57,51491,1
UHMM,59.9109833,150.7204667,175.0,857,3,УА,True,376794,8309.0,1318.0,96958,1
UHNN,53.154166666667,140.65111111111,57.0,153,3,АН,True,35415,46.62,135.34,86572,1
UHSN,51.783983333333,143.14178333333,39.0,193,3,АН,True,40938,0.0,0.0,92548,1
UHQO,51.499183333333,156.54358333333,6.0,952,3,АН,False,13,0.04,0.48,0,3
UHSH,53.517722222222,142.87996388889,38.0,0,3,АН,False,44347,86.53,28.04,96151,2
UHOO,59.4106167,143.0567167,14.0,656,3,АН,True,27777,1046.58,84.8,0,1
ZD5W,50.015766666667,155.39833333333,13.0,946,3,АН,False,0,0.0,0.0,0,3
UHPS,54.307222222222,155.97444444444,28.0,863,3,АН,False,807,3.59,8.72,0,3
UEMU,60.35695,134.436375,171.0,917,3,АН,False,10676,79.6,30.4,0,2
UHPU,57.100327777778,156.73745277778,4.0,963,3,АН,False,3696,15.5,18.31,0,3
UHHH,48.5283333,135.1883167,74.0,773,1,УА,True,2047092,24075.79,2161.88,64262,1
UHNH,52.975472222222,138.81803888889,19.0,277,3,АН,False,730,3.28,4.39,0,3
UHHY,54.696986111111,135.28731666667,9.0,513,3,АН,False,3765,28.08,16.64,0,3
UHSK,49.1906333,142.08315,17.0,484,3,АН,True,7939,6.54,0.0,0,1
UHBP,53.076905555556,132.95105277778,543.0,663,3,АН,False,385,2.003,0.0,0,2
UHSS,46.885483333333,142.71731666667,18.0,737,3,УА,True,985211,10556.14,1251.41,79460,1
UHSI,45.256366666667,147.95586666667,120.0,989,3,АН,True,24443,61.28,22.44,0,1
