ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UHNB,52.381883333333,140.44971666667,49.0,632,3,АН,True,1235,2.13,2.1,0,1
UHWW,43.3989667,132.148,18.0,916,1,УА,True,2171922,23317.2,2176.96,65310,1
UHKK,50.4093333,136.9352833,32.0,578,3,АН,True,15182,2032.66,113.57,51491,1
UHNN,53.154166666667,140.65111111111,57.0,712,3,АН,True,35415,46.62,135.34,86572,1
UHSN,51.783983333333,143.14178333333,39.0,545,3,АН,True,40938,0.0,0.0,92548,1
UHSH,53.517722222222,142.87996388889,38.0,737,3,АН,False,44347,86.53,28.04,96151,2
ZD5W,50.015766666667,155.39833333333,13.0,999,3,АН,False,0,0.0,0.0,0,3
UHHH,48.5283333,135.1883167,74.0,593,1,УА,True,2047092,24075.79,2161.88,64262,1
UHNH,52.975472222222,138.81803888889,19.0,732,3,АН,False,730,3.28,4.39,0,3
UHSK,49.1906333,142.08315,17.0,260,3,АН,True,7939,6.54,0.0,0,1
HC3Y,43.8664,146.82759166667,25.0,464,3,АН,False,0,0.0,0.0,0,4
UHBP,53.076905555556,132.95105277778,543.0,980,3,АН,False,385,2.003,0.0,0,2
UHSM,43.961061111111,145.68497777778,216.0,399,3,АН,True,24348,65.59,25.7,70897,1
UHSS,46.885483333333,142.71731666667,18.0,0,3,УА,True,985211,10556.14,1251.41,79460,1
UHSI,45.256366666667,147.95586666667,120.0,443,3,АН,True,24443,61.28,22.44,0,1
