ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UHBB,50.4254667,127.4124667,195.0,999,1,УА,True,398705,4188.3,360.2,71400,1
UIKB,57.864416666667,114.23845,280.0,652,3,АН,False,51910,774.73,123.33,56276,2
UIBB,56.3706167,101.69845,491.0,896,3,УА,True,115548,721.01,104.89,65900,1
UHBE,53.688161111111,127.09108611111,283.0,945,3,АН,True,2136,16.19,13.42,65833,1
UIII,52.2671,104.39471666667,498.0,610,3,УА,True,1973584,9675.91,1800.19,75893,1
UIKK,57.772802777778,108.05899166667,257.0,722,3,АН,True,29012,518.31,89.91,0,1
UERL,60.723583333333,114.82536666667,246.0,972,3,АН,False,57341,775.73,155.47,0,2
UELL,56.9139167,124.9137833,857.0,926,3,АН,True,115336,279.4,119.0,0,1
UIUN,55.801433333333,109.59511666667,471.0,485,3,АН,True,16379,24.45,20.03,0,1
UIKG,56.362075,114.92983333333,496.0,494,3,АН,False,12474,32.02,9.78,0,2
UECT,59.881666666667,111.04555,405.0,885,3,АН,True,265485,816.71,0.0,75529,1
UHBW,55.284994444444,124.77904444444,616.0,839,1,АН,True,5794,0.85,0.0,65833,1
UIUU,51.8098,107.44056666667,516.0,404,1,УА,True,259585,2260.3,268.51,64759,1
UITT,56.857519444444,105.73105,667.0,727,3,АН,True,83521,475.52,28.22,63295,1
UIAR,56.914383333333,118.27028333333,711.0,631,3,АН,True,9035,43.67,16.4,0,1
UIAA,52.0262333,113.3051,692.0,0,1,УА,True,358674,3290.69,336.09,64584,1
