ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UEEA,58.603433333333,125.40761666667,694.0,464,3,АН,False,3340,11.45,2.95,0,2
UHBB,50.4254667,127.4124667,195.0,940,1,УА,True,398705,4188.3,360.2,71400,1
UIKB,57.864416666667,114.23845,280.0,264,3,АН,False,51910,774.73,123.33,56276,2
UHHG,54.710802777778,128.86081111111,413.0,706,3,АН,False,0,0.0,0.0,0,3
UNIW,60.356513888889,102.31071111111,272.0,999,3,АН,True,1466,6.58,3.63,73562,1
UENI,63.459033333333,120.26883333333,135.0,737,3,АН,False,3014,9.98,2.4,0,2
UENW,63.7572,121.69193333333,112.0,785,3,АН,True,4639,12.86,5.24,0,1
UIKE,61.27515,108.02978333333,303.0,760,3,АН,False,7865,85.78,18.3,0,2
UHBE,53.688161111111,127.09108611111,283.0,664,3,АН,True,2136,16.19,13.42,65833,1
UIKK,57.772802777778,108.05899166667,257.0,621,3,АН,True,29012,518.31,89.91,0,1
UERL,60.723583333333,114.82536666667,246.0,468,3,АН,False,57341,775.73,155.47,0,2
UEMM,62.108008333333,129.56426111111,198.0,860,3,АН,False,10672,295.96,18.87,0,2
UERR,62.5346667,114.0389833,361.0,669,3,АН,True,329446,11075.36,788.54,68280,1
UELL,56.9139167,124.9137833,857.0,404,3,АН,True,115336,279.4,119.0,0,1
UIUN,55.801433333333,109.59511666667,471.0,549,3,АН,True,16379,24.45,20.03,0,1
UENN,63.296966666667,118.34286666667,118.0,711,3,АН,False,20460,30.39,73.6,0,2
UEMO,60.4009,120.47118333333,230.0,408,3,АН,False,33653,70.1,96.73,0,2
UEMS,63.95915,127.42121666667,64.0,930,3,АН,False,1598,4.9,14.32,0,2
UENS,62.186,117.6348667,140.0,588,3,АН,False,11303,21.55,58.5,0,2
UIKG,56.362075,114.92983333333,496.0,213,3,АН,False,12474,32.02,9.78,0,2
UECT,59.881666666667,111.04555,405.0,535,3,АН,True,265485,816.71,0.0,75529,1
UHBW,55.284994444444,124.77904444444,616.0,443,1,АН,True,5794,0.85,0.0,65833,1
UIUU,51.8098,107.44056666667,516.0,902,1,УА,True,259585,2260.3,268.51,64759,1
UITT,56.857519444444,105.73105,667.0,763,3,АН,True,83521,475.52,28.22,63295,1
UIAR,56.914383333333,118.27028333333,711.0,0,3,АН,True,9035,43.67,16.4,0,1
UIAA,52.0262333,113.3051,692.0,631,1,УА,True,358674,3290.69,336.09,64584,1
UEEE,62.094033333333,129.77613333333,100.0,868,3,УА,True,902463,10858.05,2225.73,73227,1
