ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UNAA,53.740102777778,91.385213888889,253.0,887,1,УА,True,185185,1000.04,168.59,73889,1
UIKB,57.864416666667,114.23845,280.0,883,3,АН,False,51910,774.73,123.33,56276,2
UIBB,56.3706167,101.69845,491.0,489,3,УА,True,115548,721.01,104.89,65900,1
UNIW,60.356513888889,102.31071111111,272.0,909,3,АН,True,1466,6.58,3.63,73562,1
UIII,52.2671,104.39471666667,498.0,0,3,УА,True,1973584,9675.91,1800.19,75893,1
UIKK,57.772802777778,108.05899166667,257.0,655,3,АН,True,29012,518.31,89.91,0,1
UNKI,58.480033333333,99.09505,306.0,768,3,АН,True,3423,15.63,1.03,49661,1
UNKL,56.172933333333,92.49325,287.0,888,3,УА,True,2258634,13852.29,1769.69,76285,1
UNKY,51.6694333,94.4005333,653.0,689,1,УА,True,24786,13.33,0.58,76285,1
UNIM,58.1809167,94.7447167,165.0,898,3,АН,False,3854,878.6,0.0,0,3
UIUN,55.801433333333,109.59511666667,471.0,520,3,АН,True,16379,24.45,20.03,0,1
UIKG,56.362075,114.92983333333,496.0,821,3,АН,False,12474,32.02,9.78,0,2
UECT,59.881666666667,111.04555,405.0,942,3,АН,True,265485,816.71,0.0,75529,1
UIUU,51.8098,107.44056666667,516.0,215,1,УА,True,259585,2260.3,268.51,64759,1
UITT,56.857519444444,105.73105,667.0,518,3,АН,True,83521,475.52,28.22,63295,1
UIAA,52.0262333,113.3051,692.0,610,1,УА,True,358674,3290.69,336.09,64584,1
