ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UERA,65.960833333333,111.54504722222,666.0,550,3,АН,False,1489,88.41,0.0,0,2
UNIB,61.6776167,96.3534167,260.0,623,3,АН,True,31268,216.06,21.94,64565,1
UIKB,57.864416666667,114.23845,280.0,516,3,АН,False,51910,774.73,123.33,56276,2
UIBB,56.3706167,101.69845,491.0,656,3,УА,True,115548,721.01,104.89,65900,1
UNIW,60.356513888889,102.31071111111,272.0,327,3,АН,True,1466,6.58,3.63,73562,1
UENI,63.459033333333,120.26883333333,135.0,677,3,АН,False,3014,9.98,2.4,0,2
UENW,63.7572,121.69193333333,112.0,754,3,АН,True,4639,12.86,5.24,0,1
UNII,58.4746333,92.1121833,77.0,941,3,АН,True,0,0.0,0.0,0,1
UIKE,61.27515,108.02978333333,303.0,0,3,АН,False,7865,85.78,18.3,0,2
UEVV,66.795433333333,123.36255,96.0,965,3,АН,False,10908,160.28,19.62,0,2
UIKK,57.772802777778,108.05899166667,257.0,390,3,АН,True,29012,518.31,89.91,0,1
UNKI,58.480033333333,99.09505,306.0,588,3,АН,True,3423,15.63,1.03,49661,1
UERL,60.723583333333,114.82536666667,246.0,372,3,АН,False,57341,775.73,155.47,0,2
UERR,62.5346667,114.0389833,361.0,345,3,АН,True,329446,11075.36,788.54,68280,1
UNIM,58.1809167,94.7447167,165.0,821,3,АН,False,3854,878.6,0.0,0,3
UIUN,55.801433333333,109.59511666667,471.0,616,3,АН,True,16379,24.45,20.03,0,1
UENN,63.296966666667,118.34286666667,118.0,579,3,АН,False,20460,30.39,73.6,0,2
UEMO,60.4009,120.47118333333,230.0,682,3,АН,False,33653,70.1,96.73,0,2
UERO,68.51475,112.47993333333,231.0,833,3,АН,False,10388,214.51,19.53,0,2
UNIP,61.591522222222,89.998891666667,87.0,959,3,АН,True,10560,16.9,18.65,63202,1
UERP,66.4002667,112.0301833,519.0,603,2,АН,True,58237,502.76,21.33,0,1
UNIS,60.373272222222,93.011622222222,526.0,821,3,АН,True,24521,7.14,43.56,73280,1
UENS,62.186,117.6348667,140.0,517,3,АН,False,11303,21.55,58.5,0,2
UIKG,56.362075,114.92983333333,496.0,676,3,АН,False,12474,32.02,9.78,0,2
UECT,59.881666666667,111.04555,405.0,226,3,АН,True,265485,816.71,0.0,75529,1
UNIT,64.3339,100.4324,614.0,515,3,АН,True,2066,10.22,5.65,63305,1
UITT,56.857519444444,105.73105,667.0,509,3,АН,True,83521,475.52,28.22,63295,1
UIAR,56.914383333333,118.27028333333,711.0,760,3,АН,True,9035,43.67,16.4,0,1
