ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UEEA,58.603433333333,125.40761666667,694.0,675,3,АН,False,3340,11.45,2.95,0,2
UIKB,57.864416666667,114.23845,280.0,172,3,АН,False,51910,774.73,123.33,56276,2
UHHG,54.710802777778,128.86081111111,413.0,896,3,АН,False,0,0.0,0.0,0,3
UIBB,56.3706167,101.69845,491.0,816,3,УА,True,115548,721.01,104.89,65900,1
UNIW,60.356513888889,102.31071111111,272.0,860,3,АН,True,1466,6.58,3.63,73562,1
UENI,63.459033333333,120.26883333333,135.0,844,3,АН,False,3014,9.98,2.4,0,2
UENW,63.7572,121.69193333333,112.0,904,3,АН,True,4639,12.86,5.24,0,1
UIKE,61.27515,108.02978333333,303.0,676,3,АН,False,7865,85.78,18.3,0,2
UHBE,53.688161111111,127.09108611111,283.0,831,3,АН,True,2136,16.19,13.42,65833,1
UIII,52.2671,104.39471666667,498.0,821,3,УА,True,1973584,9675.91,1800.19,75893,1
UIKK,57.772802777778,108.05899166667,257.0,445,3,АН,True,29012,518.31,89.91,0,1
UNKI,58.480033333333,99.09505,306.0,977,3,АН,True,3423,15.63,1.03,49661,1
UERL,60.723583333333,114.82536666667,246.0,485,3,АН,False,57341,775.73,155.47,0,2
UERR,62.5346667,114.0389833,361.0,689,3,АН,True,329446,11075.36,788.54,68280,1
UELL,56.9139167,124.9137833,857.0,615,3,АН,True,115336,279.4,119.0,0,1
UIUN,55.801433333333,109.59511666667,471.0,337,3,АН,True,16379,24.45,20.03,0,1
UENN,63.296966666667,118.34286666667,118.0,795,3,АН,False,20460,30.39,73.6,0,2
UEMO,60.4009,120.47118333333,230.0,554,3,АН,False,33653,70.1,96.73,0,2
UENS,62.186,117.6348667,140.0,666,3,АН,False,11303,21.55,58.5,0,2
UIKG,56.362075,114.92983333333,496.0,0,3,АН,False,12474,32.02,9.78,0,2
UECT,59.881666666667,111.04555,405.0,453,3,АН,True,265485,816.71,0.0,75529,1
UHBW,55.284994444444,124.77904444444,616.0,628,1,АН,True,5794,0.85,0.0,65833,1
UIUU,51.8098,107.44056666667,516.0,704,1,УА,True,259585,2260.3,268.51,64759,1
UITT,56.857519444444,105.73105,667.0,567,3,АН,True,83521,475.52,28.22,63295,1
UIAR,56.914383333333,118.27028333333,711.0,213,3,АН,True,9035,43.67,16.4,0,1
UIAA,52.0262333,113.3051,692.0,494,1,УА,True,358674,3290.69,336.09,64584,1
