ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
URKA,45.002141666667,37.347261111111,54.0,419,1,УА,True,1362793,729.05,0.0,66526,1
UUOB,50.643722222222,36.590458333333,224.0,533,1,УА,True,468773,46.33,0.0,57000,1
UUBP,53.2144167,34.1759667,203.0,737,3,УА,True,20444,30.39,0.0,55917,1
URWW,48.783047222222,44.344352777778,145.0,917,1,УА,True,1013823,873.2,766.0,61530,1
UUOO,51.815033333333,39.229666666667,157.0,751,3,УА,True,606289,202.59,278.68,45800,1
URKG,44.582016666667,38.013,40.0,488,1,УА,True,294865,7.43,0.0,63593,1
UUBC,54.548486111111,36.371188888889,201.0,917,3,УА,True,18145,2.81,0.0,58724,1
URKK,45.035,39.17,36.0,548,1,УА,False,3494987,5979.14,2132.94,62017,1
UUOK,51.75055,36.2957667,206.0,628,1,УА,True,32871,89.5,0.0,58724,1
UUOL,52.70325,39.53775,178.0,839,3,УА,True,63821,0.0,0.0,56154,1
URMM,44.226794444444,43.082991666667,319.0,870,1,УА,True,2180178,2111.85,819.43,63500,1
URMN,43.512933333333,43.63665,446.0,942,1,УА,True,236865,177.0,299.9,64000,1
URRP,47.493994444444,39.924811111111,86.0,570,1,УА,False,187252,329.11,62.17,61680,1
URFB,44.691930555556,33.574397222222,105.0,235,1,УА,True,0,0.0,0.0,0,1
URFF,45.05205,33.973816666667,183.0,213,1,УА,False,5128743,7112.9,642.6,78263,1
URSS,43.4445,39.9488166,27.0,687,1,УА,False,5681974,4107.4,228.04,63750,1
URMT,45.1092667,42.1127667,453.0,765,1,УА,True,356210,794.0,437.0,74759,1
UUOT,52.806375,41.482763888889,126.0,938,3,УА,True,31294,0.0,0.0,58433,1
URWI,46.3745833,44.32385,152.0,906,3,УА,True,10898,8.16,0.02,80165,1
ZFC7,42.8582667,41.1280667,12.0,802,1,БН,True,0,0.0,0.0,72000,1
UKCC,48.075016666667,37.725516666667,241.0,423,1,БН,True,0,0.0,0.0,0,1
UKCW,48.418066666667,39.374833333333,195.0,551,1,БН,True,0,0.0,0.0,0,1
UKDE,47.8675667,35.31535,114.0,250,1,БН,True,0,0.0,0.0,0,1
UKOH,46.675966666667,32.506283333333,45.0,0,1,БН,True,0,0.0,0.0,0,1
UKCM,47.07615,37.4496,74.0,379,1,БН,True,0,0.0,0.0,0,1
