ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
ULDD,69.763405555556,61.562302777778,4.0,415,2,АН,True,1476,8.55,10.18,0,1
ULMK,67.46275,33.5857,160.0,829,2,УА,True,60119,23.7,0.0,64000,1
ULAA,64.60025,40.7165,19.0,653,2,УА,True,891867,2508.08,782.18,62350,1
USDB,70.314908333333,68.334152777778,7.0,675,2,АН,True,128812,13.22,0.0,63821,1
ULDW,68.848377777778,58.2007,7.0,249,2,АН,True,15569,0.0,0.0,71000,1
UUYW,67.4889,63.993083333333,184.0,462,2,АН,True,26350,94.95,19.58,59566,1
ULMM,68.781783333333,32.751233333333,81.0,849,2,УА,True,845928,1827.67,537.62,0,1
USMM,65.482475,72.698172222222,15.0,897,2,АН,True,169313,373.04,82.95,67320,1
ULAM,67.6402833,53.12105,13.0,0,2,АН,True,183127,1258.51,366.91,64800,1
USDA,71.214486111111,72.038558333333,14.0,837,2,АН,True,369819,5778.85,0.0,69228,1
USDD,66.590691666667,66.611125,67.0,595,2,УА,True,298104,959.7,411.7,73878,1
ULAS,65.029988888889,35.730563888889,19.0,828,2,АН,True,9873,47.79,19.44,0,1
UUYY,61.646955555556,50.845116666667,103.0,676,2,УА,True,511582,733.83,293.51,0,1
UUYS,66.004708333333,57.367255555556,80.0,260,2,АН,True,158657,451.23,36.14,62624,1
USDM,71.011161111111,74.259705555556,63.0,907,2,АН,True,0,0.0,0.0,0,1
USMQ,67.988183333333,75.097138888889,33.0,922,2,АН,True,62419,1.31,0.0,69916,1
