ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
ULMK,67.46275,33.5857,160.0,287,2,УА,True,60119,23.7,0.0,64000,1
ULAA,64.60025,40.7165,19.0,241,2,УА,True,891867,2508.08,782.18,62350,1
ULLK,58.62745,31.383716666667,32.0,748,2,УА,True,0,0.0,0.0,0,1
ULWW,59.2817667,39.9447667,118.0,676,3,УА,True,5315,0.3,0.0,56713,1
UUBI,56.9425,40.9320667,125.0,943,3,УА,True,22953,582.6,75.75,62500,1
UUBA,57.7973833,41.0193,136.0,853,3,УА,True,7357,0.0,0.0,54600,1
ULMM,68.781783333333,32.751233333333,81.0,438,2,УА,True,845928,1827.67,537.62,0,1
ULAM,67.6402833,53.12105,13.0,828,2,АН,True,183127,1258.51,366.91,64800,1
ULPB,61.8851667,34.1548333,46.0,359,2,УА,True,30301,44.16,0.83,65050,1
ULOO,57.784011111111,28.395363888889,47.0,896,2,УА,True,4142,33.57,0.0,0,1
ULLI,59.8002667,30.2625,24.0,647,2,УА,False,16125520,28751.0,5855.0,62800,1
ULAS,65.029988888889,35.730563888889,19.0,0,2,АН,True,9873,47.79,19.44,0,1
UUYY,61.646955555556,50.845116666667,103.0,842,2,УА,True,511582,733.83,293.51,0,1
ULWC,59.27605,38.01875,115.0,652,3,УА,True,149068,30.86,0.0,52500,1
UUDL,57.560627777778,40.157363888889,93.0,864,3,УА,True,23817,5811.95,0.0,56500,1
