ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
ULMK,67.46275,33.5857,160.0,990,2,УА,True,60119,23.7,0.0,64000,1
ULAA,64.60025,40.7165,19.0,827,2,УА,True,891867,2508.08,782.18,62350,1
UUOB,50.643722222222,36.590458333333,224.0,949,1,УА,True,468773,46.33,0.0,57000,1
UUBP,53.2144167,34.1759667,203.0,627,3,УА,True,20444,30.39,0.0,55917,1
ULLK,58.62745,31.383716666667,32.0,0,2,УА,True,0,0.0,0.0,0,1
ULWW,59.2817667,39.9447667,118.0,497,3,УА,True,5315,0.3,0.0,56713,1
UUOO,51.815033333333,39.229666666667,157.0,906,3,УА,True,606289,202.59,278.68,45800,1
UUBW,55.55285,38.1498,123.0,533,3,УА,True,425500,1556.0,0.0,58500,1
UUBI,56.9425,40.9320667,125.0,597,3,УА,True,22953,582.6,75.75,62500,1
UMKK,54.892013888889,20.600055555556,13.0,778,2,УА,True,1788097,6678.66,1284.65,66340,1
UUBC,54.548486111111,36.371188888889,201.0,547,3,УА,True,18145,2.81,0.0,58724,1
UUBA,57.7973833,41.0193,136.0,573,3,УА,True,7357,0.0,0.0,54600,1
UUOK,51.75055,36.2957667,206.0,826,1,УА,True,32871,89.5,0.0,58724,1
UUOL,52.70325,39.53775,178.0,834,3,УА,True,63821,0.0,0.0,56154,1
UUWW,55.6,37.2733333,209.0,490,3,УА,True,18138865,58493.98,10259.52,57500,1
UUDD,55.4083167,37.9066667,181.0,533,3,УА,False,30657854,122862.35,25472.5,58870,1
UUEE,55.972397222222,37.413052777778,192.0,468,3,УА,False,39641443,293972.5,35727.3,62080,1
UWGG,56.2299167,43.7841333,78.0,789,3,УА,True,961491,948.38,311.97,62780,1
ULPB,61.8851667,34.1548333,46.0,393,2,УА,True,30301,44.16,0.83,65050,1
ULOO,57.784011111111,28.395363888889,47.0,199,2,УА,True,4142,33.57,0.0,0,1
ULLI,59.8002667,30.2625,24.0,145,2,УА,False,16125520,28751.0,5855.0,62800,1
UWPS,54.1252667,45.21265,216.0,987,3,УА,True,0,0.0,0.0,61014,1
ULAS,65.029988888889,35.730563888889,19.0,748,2,АН,True,9873,47.79,19.44,0,1
UUOT,52.806375,41.482763888889,126.0,905,3,УА,True,31294,0.0,0.0,58433,1
UWKS,56.0902667,47.3472,171.0,998,3,УА,True,251780,0.0,0.0,65781,1
ULWC,59.27605,38.01875,115.0,388,3,УА,True,149068,30.86,0.0,52500,1
UUDL,57.560627777778,40.157363888889,93.0,530,3,УА,True,23817,5811.95,0.0,56500,1
