ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
ULMK,67.46275,33.5857,160.0,622,2,УА,True,60119,23.7,0.0,64000,1
ULAA,64.60025,40.7165,19.0,447,2,УА,True,891867,2508.08,782.18,62350,1
UUBP,53.2144167,34.1759667,203.0,965,3,УА,True,20444,30.39,0.0,55917,1
ULLK,58.62745,31.383716666667,32.0,393,2,УА,True,0,0.0,0.0,0,1
ULWW,59.2817667,39.9447667,118.0,429,3,УА,True,5315,0.3,0.0,56713,1
UUBW,55.55285,38.1498,123.0,742,3,УА,True,425500,1556.0,0.0,58500,1
UUBI,56.9425,40.9320667,125.0,671,3,УА,True,22953,582.6,75.75,62500,1
UWKJ,56.70505,47.8951833,106.0,969,3,УА,True,465,0.0,0.0,63958,1
UUBC,54.548486111111,36.371188888889,201.0,827,3,УА,True,18145,2.81,0.0,58724,1
USKK,58.5033333,49.3465833,148.0,920,3,УА,True,166160,102.1,41.3,56200,1
UUBA,57.7973833,41.0193,136.0,595,3,УА,True,7357,0.0,0.0,54600,1
UUWW,55.6,37.2733333,209.0,722,3,УА,True,18138865,58493.98,10259.52,57500,1
UUDD,55.4083167,37.9066667,181.0,753,3,УА,False,30657854,122862.35,25472.5,58870,1
UUEE,55.972397222222,37.413052777778,192.0,684,3,УА,False,39641443,293972.5,35727.3,62080,1
ULMM,68.781783333333,32.751233333333,81.0,771,2,УА,True,845928,1827.67,537.62,0,1
UWGG,56.2299167,43.7841333,78.0,836,3,УА,True,961491,948.38,311.97,62780,1
ULPB,61.8851667,34.1548333,46.0,0,2,УА,True,30301,44.16,0.83,65050,1
ULOO,57.784011111111,28.395363888889,47.0,559,2,УА,True,4142,33.57,0.0,0,1
ULLI,59.8002667,30.2625,24.0,314,2,УА,False,16125520,28751.0,5855.0,62800,1
ULAS,65.029988888889,35.730563888889,19.0,359,2,АН,True,9873,47.79,19.44,0,1
UUYY,61.646955555556,50.845116666667,103.0,879,2,УА,True,511582,733.83,293.51,0,1
UWKS,56.0902667,47.3472,171.0,992,3,УА,True,251780,0.0,0.0,65781,1
ULWC,59.27605,38.01875,115.0,359,3,УА,True,149068,30.86,0.0,52500,1
UUDL,57.560627777778,40.157363888889,93.0,587,3,УА,True,23817,5811.95,0.0,56500,1
