ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UERA,65.960833333333,111.54504722222,666.0,551,3,АН,False,1489,88.41,0.0,0,2
UNIB,61.6776167,96.3534167,260.0,360,3,АН,True,31268,216.06,21.94,64565,1
UIBB,56.3706167,101.69845,491.0,889,3,УА,True,115548,721.01,104.89,65900,1
UNIW,60.356513888889,102.31071111111,272.0,453,3,АН,True,1466,6.58,3.63,73562,1
UENI,63.459033333333,120.26883333333,135.0,975,3,АН,False,3014,9.98,2.4,0,2
UNII,58.4746333,92.1121833,77.0,788,3,АН,True,0,0.0,0.0,0,1
UIKE,61.27515,108.02978333333,303.0,515,3,АН,False,7865,85.78,18.3,0,2
UOII,67.43755,86.6214167,25.0,716,2,АН,True,278039,2373.14,39.57,0,1
UIKK,57.772802777778,108.05899166667,257.0,837,3,АН,True,29012,518.31,89.91,0,1
UNKI,58.480033333333,99.09505,306.0,656,3,АН,True,3423,15.63,1.03,49661,1
UERL,60.723583333333,114.82536666667,246.0,840,3,АН,False,57341,775.73,155.47,0,2
UERR,62.5346667,114.0389833,361.0,706,3,АН,True,329446,11075.36,788.54,68280,1
UNIM,58.1809167,94.7447167,165.0,749,3,АН,False,3854,878.6,0.0,0,3
UOOO,69.311016666667,87.331966666667,181.0,796,2,УА,True,461723,9999.63,1440.2,60971,1
UENN,63.296966666667,118.34286666667,118.0,886,3,АН,False,20460,30.39,73.6,0,2
UERO,68.51475,112.47993333333,231.0,709,3,АН,False,10388,214.51,19.53,0,2
UNIP,61.591522222222,89.998891666667,87.0,610,3,АН,True,10560,16.9,18.65,63202,1
UERP,66.4002667,112.0301833,519.0,585,2,АН,True,58237,502.76,21.33,0,1
UNIS,60.373272222222,93.011622222222,526.0,584,3,АН,True,24521,7.14,43.56,73280,1
UENS,62.186,117.6348667,140.0,893,3,АН,False,11303,21.55,58.5,0,2
UECT,59.881666666667,111.04555,405.0,742,3,АН,True,265485,816.71,0.0,75529,1
USDO,63.987891666667,82.050516666667,33.0,891,3,АН,False,7872,71.92,16.17,0,2
UNIT,64.3339,100.4324,614.0,0,3,АН,True,2066,10.22,5.65,63305,1
UOTT,65.800391666667,87.929555555556,39.0,609,3,АН,True,19684,564.23,52.03,62256,1
UITT,56.857519444444,105.73105,667.0,881,3,АН,True,83521,475.52,28.22,63295,1
UOHH,71.9784,102.49318333333,30.0,856,2,АН,True,23522,2980.11,44.6,90156,1
