ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UNAA,53.740102777778,91.385213888889,253.0,712,1,УА,True,185185,1000.04,168.59,73889,1
UNIB,61.6776167,96.3534167,260.0,387,3,АН,True,31268,216.06,21.94,64565,1
UIKB,57.864416666667,114.23845,280.0,891,3,АН,False,51910,774.73,123.33,56276,2
UIBB,56.3706167,101.69845,491.0,282,3,УА,True,115548,721.01,104.89,65900,1
UNIW,60.356513888889,102.31071111111,272.0,277,3,АН,True,1466,6.58,3.63,73562,1
UNII,58.4746333,92.1121833,77.0,407,3,АН,True,0,0.0,0.0,0,1
UIKE,61.27515,108.02978333333,303.0,588,3,АН,False,7865,85.78,18.3,0,2
UIII,52.2671,104.39471666667,498.0,768,3,УА,True,1973584,9675.91,1800.19,75893,1
UNEE,55.270030555556,86.107572222222,266.0,867,1,УА,True,398026,3219.76,486.7,63500,1
UIKK,57.772802777778,108.05899166667,257.0,533,3,АН,True,29012,518.31,89.91,0,1
UNKI,58.480033333333,99.09505,306.0,0,3,АН,True,3423,15.63,1.03,49661,1
UNKL,56.172933333333,92.49325,287.0,473,3,УА,True,2258634,13852.29,1769.69,76285,1
UNKY,51.6694333,94.4005333,653.0,814,1,УА,True,24786,13.33,0.58,76285,1
UERL,60.723583333333,114.82536666667,246.0,920,3,АН,False,57341,775.73,155.47,0,2
UERR,62.5346667,114.0389833,361.0,934,3,АН,True,329446,11075.36,788.54,68280,1
UNIM,58.1809167,94.7447167,165.0,256,3,АН,False,3854,878.6,0.0,0,3
UIUN,55.801433333333,109.59511666667,471.0,701,3,АН,True,16379,24.45,20.03,0,1
UNWW,53.811941666667,86.878388888889,312.0,918,1,УА,True,234409,1621.3,95.5,64000,1
UNIP,61.591522222222,89.998891666667,87.0,613,3,АН,True,10560,16.9,18.65,63202,1
UNIS,60.373272222222,93.011622222222,526.0,404,3,АН,True,24521,7.14,43.56,73280,1
UIKG,56.362075,114.92983333333,496.0,977,3,АН,False,12474,32.02,9.78,0,2
UECT,59.881666666667,111.04555,405.0,699,3,АН,True,265485,816.71,0.0,75529,1
UNTT,56.381705555556,85.208763888889,182.0,864,3,УА,True,617717,1896.32,418.84,64867,1
UNIT,64.3339,100.4324,614.0,656,3,АН,True,2066,10.22,5.65,63305,1
UOTT,65.800391666667,87.929555555556,39.0,999,3,АН,True,19684,564.23,52.03,62256,1
UIUU,51.8098,107.44056666667,516.0,912,1,УА,True,259585,2260.3,268.51,64759,1
UITT,56.857519444444,105.73105,667.0,435,3,АН,True,83521,475.52,28.22,63295,1
