ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UNAA,53.740102777778,91.385213888889,253.0,307,1,УА,True,185185,1000.04,168.59,73889,1
UNBB,53.3639,83.542333333333,255.0,760,1,УА,True,512317,2539.72,609.43,62900,1
UIBB,56.3706167,101.69845,491.0,708,3,УА,True,115548,721.01,104.89,65900,1
UNBG,51.969166666667,85.836516666667,295.0,591,1,УА,True,60232,0.0,0.0,64335,1
UNII,58.4746333,92.1121833,77.0,771,3,АН,True,0,0.0,0.0,0,1
UIII,52.2671,104.39471666667,498.0,689,3,УА,True,1973584,9675.91,1800.19,75893,1
UNEE,55.270030555556,86.107572222222,266.0,680,1,УА,True,398026,3219.76,486.7,63500,1
UNKI,58.480033333333,99.09505,306.0,814,3,АН,True,3423,15.63,1.03,49661,1
UNKL,56.172933333333,92.49325,287.0,516,3,УА,True,2258634,13852.29,1769.69,76285,1
UNKY,51.6694333,94.4005333,653.0,0,1,УА,True,24786,13.33,0.58,76285,1
UNIM,58.1809167,94.7447167,165.0,725,3,АН,False,3854,878.6,0.0,0,3
UNWW,53.811941666667,86.878388888889,312.0,560,1,УА,True,234409,1621.3,95.5,64000,1
UNNT,55.033216666667,82.599166666667,111.0,869,1,УА,False,4809605,22012.5,7610.5,64100,1
UNIS,60.373272222222,93.011622222222,526.0,972,3,АН,True,24521,7.14,43.56,73280,1
UNTT,56.381705555556,85.208763888889,182.0,797,3,УА,True,617717,1896.32,418.84,64867,1
UIUU,51.8098,107.44056666667,516.0,899,1,УА,True,259585,2260.3,268.51,64759,1
UITT,56.857519444444,105.73105,667.0,935,3,АН,True,83521,475.52,28.22,63295,1
