ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UNBB,53.3639,83.542333333333,255.0,691,1,УА,True,512317,2539.72,609.43,62900,1
UNBG,51.969166666667,85.836516666667,295.0,894,1,УА,True,60232,0.0,0.0,64335,1
USSS,56.743066666667,60.803633333333,234.0,806,3,УА,False,5277434,19340.27,5205.54,70549,1
UNEE,55.270030555556,86.107572222222,266.0,816,1,УА,True,398026,3219.76,486.7,63500,1
USRK,62.190586111111,74.533786111111,67.0,807,3,АН,True,127382,730.05,0.0,61880,1
USUU,55.475066666667,65.415166666667,73.0,505,1,УА,True,63709,321.6,167.2,56950,1
USCM,53.393133333333,58.755633333333,436.0,964,1,УА,True,193175,374.1,39.7,64000,1
USNN,60.949861111111,76.482952777778,54.0,692,3,УА,True,669872,3453.8,282.1,65000,1
UNWW,53.811941666667,86.878388888889,312.0,889,1,УА,True,234409,1621.3,95.5,64000,1
UNNT,55.033216666667,82.599166666667,111.0,594,1,УА,False,4809605,22012.5,7610.5,64100,1
USRO,63.183933333333,75.269016666667,136.0,922,3,АН,True,209479,624.82,147.04,66066,1
UNOO,54.9671667,73.31025,95.0,0,1,УА,True,948248,3267.0,664.0,59907,1
USRR,61.3438833,73.4020667,61.0,710,3,УА,True,1721044,3579.3,651.0,62110,1
UNTT,56.381705555556,85.208763888889,182.0,763,3,УА,True,617717,1896.32,418.84,64867,1
USTR,57.17695,65.3233333,116.0,554,3,УА,True,1822909,3946.0,888.9,61680,1
USHH,61.0285,69.0864667,42.0,719,3,УА,True,254537,597.79,332.46,62312,1
USCC,55.305766666667,61.503483333333,234.0,753,1,УА,True,1469769,2948.63,957.92,61945,1
