ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
ULDD,69.763405555556,61.562302777778,4.0,778,2,АН,True,1476,8.55,10.18,0,1
USDB,70.314908333333,68.334152777778,7.0,547,2,АН,True,128812,13.22,0.0,63821,1
ULDW,68.848377777778,58.2007,7.0,944,2,АН,True,15569,0.0,0.0,71000,1
UUYW,67.4889,63.993083333333,184.0,902,2,АН,True,26350,94.95,19.58,59566,1
UODD,73.517836111111,80.379408333333,48.0,0,2,АН,True,0,0.0,0.0,0,1
UOII,67.43755,86.6214167,25.0,716,2,АН,True,278039,2373.14,39.57,0,1
USMM,65.482475,72.698172222222,15.0,943,2,АН,True,169313,373.04,82.95,67320,1
USMU,66.0700167,76.5195667,65.0,843,2,УА,True,937628,4167.8,210.8,0,1
UOOO,69.311016666667,87.331966666667,181.0,529,2,УА,True,461723,9999.63,1440.2,60971,1
USDA,71.214486111111,72.038558333333,14.0,381,2,АН,True,369819,5778.85,0.0,69228,1
USDD,66.590691666667,66.611125,67.0,929,2,УА,True,298104,959.7,411.7,73878,1
USDS,64.929686111111,77.809730555556,29.0,963,3,АН,False,14412,457.3,25.12,62971,2
UOTT,65.800391666667,87.929555555556,39.0,907,3,АН,True,19684,564.23,52.03,62256,1
USDM,71.011161111111,74.259705555556,63.0,348,2,АН,True,0,0.0,0.0,0,1
UOHH,71.9784,102.49318333333,30.0,747,2,АН,True,23522,2980.11,44.6,90156,1
USMQ,67.988183333333,75.097138888889,33.0,646,2,АН,True,62419,1.31,0.0,69916,1
