ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UERA,65.960833333333,111.54504722222,666.0,761,3,АН,False,1489,88.41,0.0,0,2
UODD,73.517836111111,80.379408333333,48.0,747,2,АН,True,0,0.0,0.0,0,1
UEVV,66.795433333333,123.36255,96.0,995,3,АН,False,10908,160.28,19.62,0,2
UOII,67.43755,86.6214167,25.0,792,2,АН,True,278039,2373.14,39.57,0,1
UOOO,69.311016666667,87.331966666667,181.0,632,2,УА,True,461723,9999.63,1440.2,60971,1
UERO,68.51475,112.47993333333,231.0,538,3,АН,False,10388,214.51,19.53,0,2
UERP,66.4002667,112.0301833,519.0,726,2,АН,True,58237,502.76,21.33,0,1
UERS,71.927886111111,114.0795,14.0,400,2,АН,False,13704,253.5,17.5,0,2
UEST,71.696616666667,128.90313333333,9.0,912,2,АН,True,17253,517.8,74.28,0,1
UNIT,64.3339,100.4324,614.0,856,3,АН,True,2066,10.22,5.65,63305,1
UOTT,65.800391666667,87.929555555556,39.0,899,3,АН,True,19684,564.23,52.03,62256,1
USDM,71.011161111111,74.259705555556,63.0,996,2,АН,True,0,0.0,0.0,0,1
UOHH,71.9784,102.49318333333,30.0,0,2,АН,True,23522,2980.11,44.6,90156,1
