ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
URKA,45.002141666667,37.347261111111,54.0,842,1,УА,True,1362793,729.05,0.0,66526,1
URWA,46.282825,48.011227777778,-20.0,0,1,УА,True,580910,801.22,307.82,61825,1
UWSB,51.8588,47.745466666667,27.0,620,3,УА,True,0,0.0,0.0,0,1
UUOB,50.643722222222,36.590458333333,224.0,972,1,УА,True,468773,46.33,0.0,57000,1
URMO,43.205180555556,44.606744444444,510.0,435,1,УА,True,439684,486.33,222.6,62500,1
URWW,48.783047222222,44.344352777778,145.0,391,1,УА,True,1013823,873.2,766.0,61530,1
UUOO,51.815033333333,39.229666666667,157.0,887,3,УА,True,606289,202.59,278.68,45800,1
URKG,44.582016666667,38.013,40.0,804,1,УА,True,294865,7.43,0.0,63593,1
URMG,43.3882,45.69985,166.0,369,1,УА,True,283202,493.39,0.62,61400,1
URKK,45.035,39.17,36.0,702,1,УА,False,3494987,5979.14,2132.94,62017,1
UUOL,52.70325,39.53775,178.0,940,3,УА,True,63821,0.0,0.0,56154,1
URMS,43.3235167,45.0121667,368.0,405,1,УА,True,231633,39.06,0.0,73293,1
URML,42.8168,47.652416666667,4.0,386,1,УА,True,1067684,1487.1,556.4,65000,1
URMM,44.226794444444,43.082991666667,319.0,449,1,УА,True,2180178,2111.85,819.43,63500,1
URMN,43.512933333333,43.63665,446.0,462,1,УА,True,236865,177.0,299.9,64000,1
UWOO,51.795833,55.456667,118.0,819,1,УА,True,744303,1218.06,598.41,65748,1
UWOR,51.072561111111,58.595727777778,277.0,942,1,УА,True,26310,79.0,0.0,63882,1
UWPP,53.109236111111,45.026119444444,184.0,789,3,УА,True,152881,22.78,0.0,61136,1
URRP,47.493994444444,39.924811111111,86.0,630,1,УА,False,187252,329.11,62.17,61680,1
UWWW,53.501111111111,50.153888888889,145.0,817,1,УА,True,2631729,2936.24,579.01,61650,1
UWPS,54.1252667,45.21265,216.0,894,3,УА,True,0,0.0,0.0,61014,1
UWSG,51.712641666667,46.170877777778,30.0,618,1,УА,True,481503,490.6,399.6,59748,1
URSS,43.4445,39.9488166,27.0,710,1,УА,False,5681974,4107.4,228.04,63750,1
URMT,45.1092667,42.1127667,453.0,477,1,УА,True,356210,794.0,437.0,74759,1
UUOT,52.806375,41.482763888889,126.0,865,3,УА,True,31294,0.0,0.0,58433,1
UWLL,54.268333,48.223611,141.0,888,3,УА,True,0,0.0,0.0,64227,1
URWI,46.3745833,44.32385,152.0,284,3,УА,True,10898,8.16,0.02,80165,1
ZFC7,42.8582667,41.1280667,12.0,665,1,БН,True,0,0.0,0.0,72000,1
UKCC,48.075016666667,37.725516666667,241.0,804,1,БН,True,0,0.0,0.0,0,1
UKCW,48.418066666667,39.374833333333,195.0,693,1,БН,True,0,0.0,0.0,0,1
UKDE,47.8675667,35.31535,114.0,979,1,БН,True,0,0.0,0.0,0,1
UKCM,47.07615,37.4496,74.0,812,1,БН,True,0,0.0,0.0,0,1
