ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
ULDD,69.763405555556,61.562302777778,4.0,494,2,АН,True,1476,8.55,10.18,0,1
USDB,70.314908333333,68.334152777778,7.0,232,2,АН,True,128812,13.22,0.0,63821,1
ULDW,68.848377777778,58.2007,7.0,658,2,АН,True,15569,0.0,0.0,71000,1
UUYW,67.4889,63.993083333333,184.0,563,2,АН,True,26350,94.95,19.58,59566,1
UODD,73.517836111111,80.379408333333,48.0,348,2,АН,True,0,0.0,0.0,0,1
UOII,67.43755,86.6214167,25.0,629,2,АН,True,278039,2373.14,39.57,0,1
USRK,62.190586111111,74.533786111111,67.0,983,3,АН,True,127382,730.05,0.0,61880,1
USMM,65.482475,72.698172222222,15.0,619,2,АН,True,169313,373.04,82.95,67320,1
ULAM,67.6402833,53.12105,13.0,907,2,АН,True,183127,1258.51,366.91,64800,1
USMU,66.0700167,76.5195667,65.0,558,2,УА,True,937628,4167.8,210.8,0,1
UOOO,69.311016666667,87.331966666667,181.0,529,2,УА,True,461723,9999.63,1440.2,60971,1
USRO,63.183933333333,75.269016666667,136.0,873,3,АН,True,209479,624.82,147.04,66066,1
USDA,71.214486111111,72.038558333333,14.0,83,2,АН,True,369819,5778.85,0.0,69228,1
USDD,66.590691666667,66.611125,67.0,580,2,УА,True,298104,959.7,411.7,73878,1
USDS,64.929686111111,77.809730555556,29.0,694,3,АН,False,14412,457.3,25.12,62971,2
USDO,63.987891666667,82.050516666667,33.0,849,3,АН,False,7872,71.92,16.17,0,2
UOTT,65.800391666667,87.929555555556,39.0,804,3,АН,True,19684,564.23,52.03,62256,1
UUYS,66.004708333333,57.367255555556,80.0,883,2,АН,True,158657,451.23,36.14,62624,1
USDM,71.011161111111,74.259705555556,63.0,0,2,АН,True,0,0.0,0.0,0,1
UOHH,71.9784,102.49318333333,30.0,996,2,АН,True,23522,2980.11,44.6,90156,1
USMQ,67.988183333333,75.097138888889,33.0,338,2,АН,True,62419,1.31,0.0,69916,1
