ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UUYW,67.4889,63.993083333333,184.0,760,2,АН,True,26350,94.95,19.58,59566,1
USSS,56.743066666667,60.803633333333,234.0,674,3,УА,False,5277434,19340.27,5205.54,70549,1
USRK,62.190586111111,74.533786111111,67.0,316,3,АН,True,127382,730.05,0.0,61880,1
USUU,55.475066666667,65.415166666667,73.0,654,1,УА,True,63709,321.6,167.2,56950,1
USMM,65.482475,72.698172222222,15.0,528,2,АН,True,169313,373.04,82.95,67320,1
USNN,60.949861111111,76.482952777778,54.0,400,3,УА,True,669872,3453.8,282.1,65000,1
USMU,66.0700167,76.5195667,65.0,671,2,УА,True,937628,4167.8,210.8,0,1
USRO,63.183933333333,75.269016666667,136.0,402,3,АН,True,209479,624.82,147.04,66066,1
UNOO,54.9671667,73.31025,95.0,719,1,УА,True,948248,3267.0,664.0,59907,1
USPP,57.9145,56.0213667,123.0,815,3,УА,True,1338373,2063.11,866.5,61570,1
USDD,66.590691666667,66.611125,67.0,631,2,УА,True,298104,959.7,411.7,73878,1
USRR,61.3438833,73.4020667,61.0,234,3,УА,True,1721044,3579.3,651.0,62110,1
UUYY,61.646955555556,50.845116666667,103.0,975,2,УА,True,511582,733.83,293.51,0,1
USDS,64.929686111111,77.809730555556,29.0,619,3,АН,False,14412,457.3,25.12,62971,2
USDO,63.987891666667,82.050516666667,33.0,743,3,АН,False,7872,71.92,16.17,0,2
USTR,57.17695,65.3233333,116.0,480,3,УА,True,1822909,3946.0,888.9,61680,1
UUYS,66.004708333333,57.367255555556,80.0,802,2,АН,True,158657,451.23,36.14,62624,1
USHH,61.0285,69.0864667,42.0,0,3,УА,True,254537,597.79,332.46,62312,1
USCC,55.305766666667,61.503483333333,234.0,777,1,УА,True,1469769,2948.63,957.92,61945,1
USMQ,67.988183333333,75.097138888889,33.0,826,2,АН,True,62419,1.31,0.0,69916,1
