ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
USDB,70.314908333333,68.334152777778,7.0,946,2,АН,True,128812,13.22,0.0,63821,1
UUYW,67.4889,63.993083333333,184.0,772,2,АН,True,26350,94.95,19.58,59566,1
USSS,56.743066666667,60.803633333333,234.0,983,3,УА,False,5277434,19340.27,5205.54,70549,1
UOII,67.43755,86.6214167,25.0,817,2,АН,True,278039,2373.14,39.57,0,1
USRK,62.190586111111,74.533786111111,67.0,0,3,АН,True,127382,730.05,0.0,61880,1
USUU,55.475066666667,65.415166666667,73.0,913,1,УА,True,63709,321.6,167.2,56950,1
USMM,65.482475,72.698172222222,15.0,377,2,АН,True,169313,373.04,82.95,67320,1
USNN,60.949861111111,76.482952777778,54.0,172,3,УА,True,669872,3453.8,282.1,65000,1
UNNT,55.033216666667,82.599166666667,111.0,923,1,УА,False,4809605,22012.5,7610.5,64100,1
USMU,66.0700167,76.5195667,65.0,443,2,УА,True,937628,4167.8,210.8,0,1
UOOO,69.311016666667,87.331966666667,181.0,983,2,УА,True,461723,9999.63,1440.2,60971,1
USRO,63.183933333333,75.269016666667,136.0,116,3,АН,True,209479,624.82,147.04,66066,1
UNOO,54.9671667,73.31025,95.0,807,1,УА,True,948248,3267.0,664.0,59907,1
UNIP,61.591522222222,89.998891666667,87.0,814,3,АН,True,10560,16.9,18.65,63202,1
USDD,66.590691666667,66.611125,67.0,620,2,УА,True,298104,959.7,411.7,73878,1
USRR,61.3438833,73.4020667,61.0,111,3,УА,True,1721044,3579.3,651.0,62110,1
USDS,64.929686111111,77.809730555556,29.0,345,3,АН,False,14412,457.3,25.12,62971,2
USDO,63.987891666667,82.050516666667,33.0,428,3,АН,False,7872,71.92,16.17,0,2
UNTT,56.381705555556,85.208763888889,182.0,886,3,УА,True,617717,1896.32,418.84,64867,1
UOTT,65.800391666667,87.929555555556,39.0,766,3,АН,True,19684,564.23,52.03,62256,1
USTR,57.17695,65.3233333,116.0,760,3,УА,True,1822909,3946.0,888.9,61680,1
UUYS,66.004708333333,57.367255555556,80.0,934,2,АН,True,158657,451.23,36.14,62624,1
USDM,71.011161111111,74.259705555556,63.0,983,2,АН,True,0,0.0,0.0,0,1
USHH,61.0285,69.0864667,42.0,316,3,УА,True,254537,597.79,332.46,62312,1
USMQ,67.988183333333,75.097138888889,33.0,646,2,АН,True,62419,1.31,0.0,69916,1
