ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
USSS,56.743066666667,60.803633333333,234.0,0,3,УА,False,5277434,19340.27,5205.54,70549,1
USII,56.834908333333,53.462297222222,163.0,448,3,УА,True,315557,912.73,336.11,64000,1
UWKJ,56.70505,47.8951833,106.0,789,3,УА,True,465,0.0,0.0,63958,1
UWKD,55.60695,49.280316666667,125.0,725,3,УА,False,2623423,2360.13,607.5,61455,1
USKK,58.5033333,49.3465833,148.0,711,3,УА,True,166160,102.1,41.3,56200,1
USRK,62.190586111111,74.533786111111,67.0,983,3,АН,True,127382,730.05,0.0,61880,1
USUU,55.475066666667,65.415166666667,73.0,319,1,УА,True,63709,321.6,167.2,56950,1
USCM,53.393133333333,58.755633333333,436.0,395,1,УА,True,193175,374.1,39.7,64000,1
UWKE,55.564677777778,52.092486111111,196.0,556,3,УА,True,587361,637.0,16.0,0,1
UNOO,54.9671667,73.31025,95.0,806,1,УА,True,948248,3267.0,664.0,59907,1
UWOO,51.795833,55.456667,118.0,651,1,УА,True,744303,1218.06,598.41,65748,1
UWOR,51.072561111111,58.595727777778,277.0,647,1,УА,True,26310,79.0,0.0,63882,1
USPP,57.9145,56.0213667,123.0,316,3,УА,True,1338373,2063.11,866.5,61570,1
UWWW,53.501111111111,50.153888888889,145.0,768,1,УА,True,2631729,2936.24,579.01,61650,1
USRR,61.3438833,73.4020667,61.0,884,3,УА,True,1721044,3579.3,651.0,62110,1
UUYY,61.646955555556,50.845116666667,103.0,787,2,УА,True,511582,733.83,293.51,0,1
USTR,57.17695,65.3233333,116.0,279,3,УА,True,1822909,3946.0,888.9,61680,1
UWLL,54.268333,48.223611,141.0,839,3,УА,True,0,0.0,0.0,64227,1
UWUU,54.55665,55.875,137.0,394,3,УА,False,2794407,4390.83,787.43,64200,1
USHH,61.0285,69.0864667,42.0,674,3,УА,True,254537,597.79,332.46,62312,1
UWKS,56.0902667,47.3472,171.0,832,3,УА,True,251780,0.0,0.0,65781,1
USCC,55.305766666667,61.503483333333,234.0,165,1,УА,True,1469769,2948.63,957.92,61945,1
