ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
USSS,56.743066666667,60.803633333333,234.0,279,3,УА,False,5277434,19340.27,5205.54,70549,1
USII,56.834908333333,53.462297222222,163.0,720,3,УА,True,315557,912.73,336.11,64000,1
USKK,58.5033333,49.3465833,148.0,958,3,УА,True,166160,102.1,41.3,56200,1
USRK,62.190586111111,74.533786111111,67.0,760,3,АН,True,127382,730.05,0.0,61880,1
USUU,55.475066666667,65.415166666667,73.0,189,1,УА,True,63709,321.6,167.2,56950,1
USCM,53.393133333333,58.755633333333,436.0,592,1,УА,True,193175,374.1,39.7,64000,1
USNN,60.949861111111,76.482952777778,54.0,764,3,УА,True,669872,3453.8,282.1,65000,1
UWKE,55.564677777778,52.092486111111,196.0,835,3,УА,True,587361,637.0,16.0,0,1
USRO,63.183933333333,75.269016666667,136.0,865,3,АН,True,209479,624.82,147.04,66066,1
UNOO,54.9671667,73.31025,95.0,554,1,УА,True,948248,3267.0,664.0,59907,1
UWOO,51.795833,55.456667,118.0,874,1,УА,True,744303,1218.06,598.41,65748,1
UWOR,51.072561111111,58.595727777778,277.0,808,1,УА,True,26310,79.0,0.0,63882,1
USPP,57.9145,56.0213667,123.0,562,3,УА,True,1338373,2063.11,866.5,61570,1
USRR,61.3438833,73.4020667,61.0,653,3,УА,True,1721044,3579.3,651.0,62110,1
UUYY,61.646955555556,50.845116666667,103.0,958,2,УА,True,511582,733.83,293.51,0,1
USTR,57.17695,65.3233333,116.0,0,3,УА,True,1822909,3946.0,888.9,61680,1
UWUU,54.55665,55.875,137.0,658,3,УА,False,2794407,4390.83,787.43,64200,1
USHH,61.0285,69.0864667,42.0,480,3,УА,True,254537,597.79,332.46,62312,1
USCC,55.305766666667,61.503483333333,234.0,315,1,УА,True,1469769,2948.63,957.92,61945,1
