ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
ULDD,69.763405555556,61.562302777778,4.0,454,2,АН,True,1476,8.55,10.18,0,1
ULAA,64.60025,40.7165,19.0,789,2,УА,True,891867,2508.08,782.18,62350,1
USDB,70.314908333333,68.334152777778,7.0,660,2,АН,True,128812,13.22,0.0,63821,1
ULDW,68.848377777778,58.2007,7.0,319,2,АН,True,15569,0.0,0.0,71000,1
UUYW,67.4889,63.993083333333,184.0,335,2,АН,True,26350,94.95,19.58,59566,1
USKK,58.5033333,49.3465833,148.0,932,3,УА,True,166160,102.1,41.3,56200,1
USRK,62.190586111111,74.533786111111,67.0,934,3,АН,True,127382,730.05,0.0,61880,1
USMM,65.482475,72.698172222222,15.0,703,2,АН,True,169313,373.04,82.95,67320,1
ULAM,67.6402833,53.12105,13.0,260,2,АН,True,183127,1258.51,366.91,64800,1
USMU,66.0700167,76.5195667,65.0,864,2,УА,True,937628,4167.8,210.8,0,1
USRO,63.183933333333,75.269016666667,136.0,909,3,АН,True,209479,624.82,147.04,66066,1
USPP,57.9145,56.0213667,123.0,904,3,УА,True,1338373,2063.11,866.5,61570,1
USDA,71.214486111111,72.038558333333,14.0,829,2,АН,True,369819,5778.85,0.0,69228,1
USDD,66.590691666667,66.611125,67.0,419,2,УА,True,298104,959.7,411.7,73878,1
USRR,61.3438833,73.4020667,61.0,944,3,УА,True,1721044,3579.3,651.0,62110,1
UUYY,61.646955555556,50.845116666667,103.0,581,2,УА,True,511582,733.83,293.51,0,1
USDS,64.929686111111,77.809730555556,29.0,950,3,АН,False,14412,457.3,25.12,62971,2
UUYS,66.004708333333,57.367255555556,80.0,0,2,АН,True,158657,451.23,36.14,62624,1
USDM,71.011161111111,74.259705555556,63.0,883,2,АН,True,0,0.0,0.0,0,1
USHH,61.0285,69.0864667,42.0,802,3,УА,True,254537,597.79,332.46,62312,1
USMQ,67.988183333333,75.097138888889,33.0,801,2,АН,True,62419,1.31,0.0,69916,1
