ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
ULAA,64.60025,40.7165,19.0,606,2,УА,True,891867,2508.08,782.18,62350,1
ULDW,68.848377777778,58.2007,7.0,872,2,АН,True,15569,0.0,0.0,71000,1
ULWW,59.2817667,39.9447667,118.0,654,3,УА,True,5315,0.3,0.0,56713,1
UUYW,67.4889,63.993083333333,184.0,902,2,АН,True,26350,94.95,19.58,59566,1
USSS,56.743066666667,60.803633333333,234.0,787,3,УА,False,5277434,19340.27,5205.54,70549,1
UUBW,55.55285,38.1498,123.0,999,3,УА,True,425500,1556.0,0.0,58500,1
UUBI,56.9425,40.9320667,125.0,769,3,УА,True,22953,582.6,75.75,62500,1
USII,56.834908333333,53.462297222222,163.0,556,3,УА,True,315557,912.73,336.11,64000,1
UWKJ,56.70505,47.8951833,106.0,575,3,УА,True,465,0.0,0.0,63958,1
UWKD,55.60695,49.280316666667,125.0,678,3,УА,False,2623423,2360.13,607.5,61455,1
USKK,58.5033333,49.3465833,148.0,360,3,УА,True,166160,102.1,41.3,56200,1
UUBA,57.7973833,41.0193,136.0,698,3,УА,True,7357,0.0,0.0,54600,1
UUEE,55.972397222222,37.413052777778,192.0,997,3,УА,False,39641443,293972.5,35727.3,62080,1
ULAM,67.6402833,53.12105,13.0,676,2,АН,True,183127,1258.51,366.91,64800,1
UWKE,55.564677777778,52.092486111111,196.0,681,3,УА,True,587361,637.0,16.0,0,1
UWGG,56.2299167,43.7841333,78.0,726,3,УА,True,961491,948.38,311.97,62780,1
USPP,57.9145,56.0213667,123.0,507,3,УА,True,1338373,2063.11,866.5,61570,1
ULPB,61.8851667,34.1548333,46.0,879,2,УА,True,30301,44.16,0.83,65050,1
USDD,66.590691666667,66.611125,67.0,941,2,УА,True,298104,959.7,411.7,73878,1
UWWW,53.501111111111,50.153888888889,145.0,908,1,УА,True,2631729,2936.24,579.01,61650,1
UWPS,54.1252667,45.21265,216.0,901,3,УА,True,0,0.0,0.0,61014,1
ULAS,65.029988888889,35.730563888889,19.0,842,2,АН,True,9873,47.79,19.44,0,1
UUYY,61.646955555556,50.845116666667,103.0,0,2,УА,True,511582,733.83,293.51,0,1
USTR,57.17695,65.3233333,116.0,958,3,УА,True,1822909,3946.0,888.9,61680,1
UWLL,54.268333,48.223611,141.0,836,3,УА,True,0,0.0,0.0,64227,1
UUYS,66.004708333333,57.367255555556,80.0,581,2,АН,True,158657,451.23,36.14,62624,1
UWUU,54.55665,55.875,137.0,842,3,УА,False,2794407,4390.83,787.43,64200,1
USHH,61.0285,69.0864667,42.0,975,3,УА,True,254537,597.79,332.46,62312,1
UWKS,56.0902667,47.3472,171.0,650,3,УА,True,251780,0.0,0.0,65781,1
USCC,55.305766666667,61.503483333333,234.0,938,1,УА,True,1469769,2948.63,957.92,61945,1
ULWC,59.27605,38.01875,115.0,752,3,УА,True,149068,30.86,0.0,52500,1
UUDL,57.560627777778,40.157363888889,93.0,754,3,УА,True,23817,5811.95,0.0,56500,1
