ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
URWA,46.282825,48.011227777778,-20.0,942,1,УА,True,580910,801.22,307.82,61825,1
UWSB,51.8588,47.745466666667,27.0,758,3,УА,True,0,0.0,0.0,0,1
USSS,56.743066666667,60.803633333333,234.0,647,3,УА,False,5277434,19340.27,5205.54,70549,1
USII,56.834908333333,53.462297222222,163.0,724,3,УА,True,315557,912.73,336.11,64000,1
UWKJ,56.70505,47.8951833,106.0,940,3,УА,True,465,0.0,0.0,63958,1
UWKD,55.60695,49.280316666667,125.0,798,3,УА,False,2623423,2360.13,607.5,61455,1
USUU,55.475066666667,65.415166666667,73.0,667,1,УА,True,63709,321.6,167.2,56950,1
USCM,53.393133333333,58.755633333333,436.0,258,1,УА,True,193175,374.1,39.7,64000,1
UWKE,55.564677777778,52.092486111111,196.0,661,3,УА,True,587361,637.0,16.0,0,1
UWOO,51.795833,55.456667,118.0,232,1,УА,True,744303,1218.06,598.41,65748,1
UWOR,51.072561111111,58.595727777778,277.0,0,1,УА,True,26310,79.0,0.0,63882,1
UWPP,53.109236111111,45.026119444444,184.0,955,3,УА,True,152881,22.78,0.0,61136,1
USPP,57.9145,56.0213667,123.0,779,3,УА,True,1338373,2063.11,866.5,61570,1
UWWW,53.501111111111,50.153888888889,145.0,635,1,УА,True,2631729,2936.24,579.01,61650,1
UWPS,54.1252667,45.21265,216.0,966,3,УА,True,0,0.0,0.0,61014,1
UWSG,51.712641666667,46.170877777778,30.0,866,1,УА,True,481503,490.6,399.6,59748,1
USTR,57.17695,65.3233333,116.0,808,3,УА,True,1822909,3946.0,888.9,61680,1
UWLL,54.268333,48.223611,141.0,785,3,УА,True,0,0.0,0.0,64227,1
UWUU,54.55665,55.875,137.0,428,3,УА,False,2794407,4390.83,787.43,64200,1
UWKS,56.0902667,47.3472,171.0,929,3,УА,True,251780,0.0,0.0,65781,1
USCC,55.305766666667,61.503483333333,234.0,509,1,УА,True,1469769,2948.63,957.92,61945,1
