ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
URKA,45.002141666667,37.347261111111,54.0,385,1,УА,True,1362793,729.05,0.0,66526,1
URWA,46.282825,48.011227777778,-20.0,665,1,УА,True,580910,801.22,307.82,61825,1
UUOB,50.643722222222,36.590458333333,224.0,931,1,УА,True,468773,46.33,0.0,57000,1
URMO,43.205180555556,44.606744444444,510.0,286,1,УА,True,439684,486.33,222.6,62500,1
URWW,48.783047222222,44.344352777778,145.0,704,1,УА,True,1013823,873.2,766.0,61530,1
URKG,44.582016666667,38.013,40.0,315,1,УА,True,294865,7.43,0.0,63593,1
URMG,43.3882,45.69985,166.0,376,1,УА,True,283202,493.39,0.62,61400,1
URKK,45.035,39.17,36.0,288,1,УА,False,3494987,5979.14,2132.94,62017,1
URMS,43.3235167,45.0121667,368.0,320,1,УА,True,231633,39.06,0.0,73293,1
URML,42.8168,47.652416666667,4.0,533,1,УА,True,1067684,1487.1,556.4,65000,1
URMM,44.226794444444,43.082991666667,319.0,219,1,УА,True,2180178,2111.85,819.43,63500,1
URMN,43.512933333333,43.63665,446.0,216,1,УА,True,236865,177.0,299.9,64000,1
URRP,47.493994444444,39.924811111111,86.0,523,1,УА,False,187252,329.11,62.17,61680,1
URFB,44.691930555556,33.574397222222,105.0,641,1,УА,True,0,0.0,0.0,0,1
URFF,45.05205,33.973816666667,183.0,623,1,УА,False,5128743,7112.9,642.6,78263,1
URSS,43.4445,39.9488166,27.0,115,1,УА,False,5681974,4107.4,228.04,63750,1
URMT,45.1092667,42.1127667,453.0,262,1,УА,True,356210,794.0,437.0,74759,1
URWI,46.3745833,44.32385,152.0,465,3,УА,True,10898,8.16,0.02,80165,1
ZFC7,42.8582667,41.1280667,12.0,0,1,БН,True,0,0.0,0.0,72000,1
UKCC,48.075016666667,37.725516666667,241.0,637,1,БН,True,0,0.0,0.0,0,1
UKCW,48.418066666667,39.374833333333,195.0,632,1,БН,True,0,0.0,0.0,0,1
UKDE,47.8675667,35.31535,114.0,718,1,БН,True,0,0.0,0.0,0,1
UKOH,46.675966666667,32.506283333333,45.0,802,1,БН,True,0,0.0,0.0,0,1
UKCM,47.07615,37.4496,74.0,551,1,БН,True,0,0.0,0.0,0,1
