регион,район,город,тип,население,широта,долгота,расстояние
Республика Саха (Якутия),Верхоянский,Алысардах,с,90,67.4519444444445,135.508333333333,41
Республика Саха (Якутия),Верхоянский,Столбы,с,284,67.5316666666667,134.088055555556,28
Республика Саха (Якутия),Верхоянский,Энгя-Сайылыга,с,6,67.755,135.646944444444,42
Республика Саха (Якутия),Верхоянский,Юттях,с,187,67.5997222222222,134.451666666667,11
Республика Саха (Якутия),Верхоянский,Томтор,с,281,67.1538888888889,134.694166666667,55
Республика Саха (Якутия),Верхоянский,Черюмче,с,223,68.2291666666667,134.964444444444,65
Республика Саха (Якутия),Верхоянский,Хайысардах,с,362,67.9641666666667,134.7425,35
Республика Саха (Якутия),Верхоянский,Эсэ-Хайя,пгт,188,67.5436111111111,134.673611111111,11
Республика Саха (Якутия),Верхоянский,Бетенкес,с,796,67.65,135.575,37
Республика Саха (Якутия),Верхоянский,Токума,с,147,67.0930555555556,134.320833333333,63
Республика Саха (Якутия),Верхоянский,Чолбон,с,6,67.7502777777778,134.6975,11
Республика Саха (Якутия),Верхоянский,Батагай,пгт,3559,67.6536111111111,134.631944444444,2
