регион,район,город,тип,население,широта,долгота,расстояние
Республика Саха (Якутия),Алданский,Хатыстыр,с,1351,58.9230555555556,125.16,38
Республика Саха (Якутия),Алданский,Орочен 2-й,с,14,58.5452777777778,125.377777777778,6
Республика Саха (Якутия),Алданский,Томмот,г,6790,58.9594444444444,126.269722222222,63
Республика Саха (Якутия),Алданский,Угоян,с,356,59.2536111111111,125.290555555556,72
Республика Саха (Якутия),Алданский,Якокут,с,75,58.5283333333333,125.716388888889,19
Республика Саха (Якутия),Алданский,Алдан,г,19958,58.6030555555556,125.384444444444,1
Республика Саха (Якутия),Алданский,Орочен 1-й,с,11,58.4841666666667,125.424166666667,13
Республика Саха (Якутия),Алданский,Большой Нимныр,п,186,58.0416666666667,125.482777777778,62
Республика Саха (Якутия),Алданский,Ленинский,п,1600,58.5766666666667,125.435277777778,3
Республика Саха (Якутия),Алданский,Якокит,с,294,58.8975,125.8375,41
Республика Саха (Якутия),Алданский,Лебединый,п,944,58.4922222222222,125.501388888889,13
Республика Саха (Якутия),Алданский,Безымянный,п,0,58.7436111111111,126.387222222222,58
Республика Саха (Якутия),Алданский,Нижний Куранах,п,5154,58.8175,125.527222222222,24
Республика Саха (Якутия),Алданский,Верхний Куранах,с,502,58.755,125.483333333333,17
