регион,район,город,тип,население,широта,долгота,расстояние
Республика Саха (Якутия),Усть-Алданский,Элясин,с,117,62.6225,130.537222222222,70
Республика Саха (Якутия),Намский,Ымыяхтах,с,1246,62.4561111111111,129.885277777778,40
Республика Саха (Якутия),Мегино-Кангаласский,Чюйя,с,621,61.7275,130.3675,51
Республика Саха (Якутия),Намский,Намцы,с,10154,62.7186111111111,129.665,69
Республика Саха (Якутия),Хангаласский,Кысыл-Юрюйя,с,245,61.3611111111111,129.025277777778,90
Республика Саха (Якутия),Мегино-Кангаласский,Рассолода,с,442,61.6730555555556,129.648611111111,47
Республика Саха (Якутия),Хангаласский,Октемцы,с,1908,61.6658333333333,129.415277777778,51
Республика Саха (Якутия),Намский,Кысыл-Деревня,с,308,62.7830555555556,129.642222222222,77
Республика Саха (Якутия),Мегино-Кангаласский,Хомустах,с,19,61.84,129.860277777778,28
Республика Саха (Якутия),Хангаласский,Чаранг,с,66,61.4252777777778,128.779166666667,91
Республика Саха (Якутия),Город Якутск,Сырдах,с,816,62.22,129.84,14
Республика Саха (Якутия),Мегино-Кангаласский,Хатылыма,с,121,61.5425,129.886111111111,61
Республика Саха (Якутия),Усть-Алданский,Хомустах,с,469,62.8761111111111,130.323611111111,91
Республика Саха (Якутия),Мегино-Кангаласский,Беке,с,382,61.785,130.372777777778,46
Республика Саха (Якутия),Хангаласский,Покровск,г,9320,61.4838888888889,129.150555555556,75
Республика Саха (Якутия),Намский,Никольский,с,453,62.6288888888889,129.713055555556,59
Республика Саха (Якутия),Мегино-Кангаласский,Хаптагай,с,1031,61.7858333333333,129.790833333333,34
Республика Саха (Якутия),Мегино-Кангаласский,Хоробут,с,884,61.8355555555556,130.756111111111,58
Республика Саха (Якутия),Хангаласский,Техтюр,с,632,61.7113888888889,129.467777777778,45
Республика Саха (Якутия),Мегино-Кангаласский,Тумул,с,552,62.1883333333333,130.674444444444,48
Республика Саха (Якутия),Хангаласский,Хоточчу,с,277,61.5344444444444,129.408611111111,65
Республика Саха (Якутия),Усть-Алданский,Далы,с,42,62.7366666666667,130.485833333333,80
Республика Саха (Якутия),Намский,Ергелех,с,284,62.5827777777778,128.868333333333,71
Республика Саха (Якутия),Усть-Алданский,Хоногор,с,690,62.47,130.11,45
Республика Саха (Якутия),Намский,Хатас,с,673,62.6805555555556,129.911944444444,65
Республика Саха (Якутия),Усть-Алданский,Кептени,с,1008,62.7947222222222,130.752777777778,92
Республика Саха (Якутия),Хангаласский,Качикатцы,с,950,61.3191666666667,128.955,96
Республика Саха (Якутия),Мегино-Кангаласский,Кердюген,с,6,62.3391666666667,130.131388888889,32
Республика Саха (Якутия),Намский,Юнер-Олох,с,5,62.7575,129.855277777778,74
Республика Саха (Якутия),Город Якутск,Хатассы,с,5348,61.9061111111111,129.636388888889,22
Республика Саха (Якутия),Мегино-Кангаласский,Суола,с,481,61.9091666666667,130.565,46
Республика Саха (Якутия),Мегино-Кангаласский,Нижний Бестях,п,4080,61.9619444444444,129.912222222222,16
Республика Саха (Якутия),Город Якутск,Пригородный,с,1546,61.9727777777778,129.688888888889,14
Республика Саха (Якутия),Мегино-Кангаласский,Майя,с,7212,61.7433333333333,130.275833333333,47
Республика Саха (Якутия),Намский,Воин,с,48,62.6247222222222,129.959166666667,59
Республика Саха (Якутия),Мегино-Кангаласский,Телиги,с,523,61.3830555555556,130.695,92
Республика Саха (Якутия),Мегино-Кангаласский,Беджелек,с,5,61.9641666666667,130.168055555556,25
Республика Саха (Якутия),Мегино-Кангаласский,Павловск,с,2115,61.8716666666667,129.838055555556,24
Республика Саха (Якутия),Намский,Харыялах,с,479,62.1408333333333,129.736111111111,5
Республика Саха (Якутия),Мегино-Кангаласский,Тюнгюлю,с,2157,62.1975,130.710555555556,50
Республика Саха (Якутия),Намский,Тумул,с,949,62.9025,129.559722222222,90
Республика Саха (Якутия),Город Якутск,Капитоновка,с,891,62.3266666666667,129.941111111111,27
Республика Саха (Якутия),Город Якутск,Тулагино,с,1644,62.255,129.878611111111,18
Республика Саха (Якутия),Намский,Графский Берег,с,887,62.7747222222222,129.689722222222,75
Республика Саха (Якутия),Намский,Аппаны,с,1747,62.7594444444444,129.651111111111,74
Республика Саха (Якутия),Мегино-Кангаласский,Бедеме,с,491,62.0041666666667,130.541944444444,41
Республика Саха (Якутия),Усть-Алданский,Сасылыкан,с,111,62.4761111111111,130.646944444444,62
Республика Саха (Якутия),Усть-Алданский,Огородтах,с,963,62.4530555555556,130.141388888889,44
Республика Саха (Якутия),Город Якутск,Якутск,г,318768,62.0391666666667,129.735833333333,6
Республика Саха (Якутия),Мегино-Кангаласский,Сото,с,1,61.8019444444444,130.518055555556,50
Республика Саха (Якутия),Мегино-Кангаласский,Хочо,с,526,61.5669444444444,130.740833333333,77
Республика Саха (Якутия),Хангаласский,Карапатское,с,0,61.6888888888889,129.463888888889,48
Республика Саха (Якутия),Хангаласский,Ой,с,2284,61.5405555555556,129.183888888889,69
Республика Саха (Якутия),Хангаласский,Кердем,с,974,61.4313888888889,129.195555555556,79
Республика Саха (Якутия),Мегино-Кангаласский,Петровка,с,1166,61.7269444444444,130.259166666667,48
Республика Саха (Якутия),Хангаласский,Мохсоголлох,п,6125,61.3969444444444,128.943611111111,89
Республика Саха (Якутия),Город Якутск,Жатай,п,10135,62.1658333333333,129.8375,8
Республика Саха (Якутия),Хангаласский,Нуочаха,с,4,61.3033333333333,129.568333333333,88
Республика Саха (Якутия),Мегино-Кангаласский,Ломтука,с,658,61.6383333333333,130.089166666667,53
Республика Саха (Якутия),Намский,Кысыл-Сыр,с,1603,62.5377777777778,129.761944444444,49
Республика Саха (Якутия),Хангаласский,Тит-Эбя,с,802,61.4844444444444,129.318333333333,72
Республика Саха (Якутия),Усть-Алданский,Ары-Тит,с,142,62.5102777777778,130.045833333333,48
Республика Саха (Якутия),Мегино-Кангаласский,Матта,с,461,62.3583333333333,130.659444444444,54
Республика Саха (Якутия),Намский,Кюренг-Ат,с,201,62.7338888888889,129.23,76
Республика Саха (Якутия),Намский,Тарагай-Бясь,с,46,62.6613888888889,129.942777777778,63
Республика Саха (Якутия),Намский,Партизан,с,949,62.5861111111111,129.771111111111,54
Республика Саха (Якутия),Намский,Крест-Кытыл,с,1781,62.6647222222222,129.703611111111,63
Республика Саха (Якутия),Мегино-Кангаласский,Тарат,с,333,62.2225,130.6875,49
Республика Саха (Якутия),Мегино-Кангаласский,Томтор,с,414,62.1483333333333,130.049444444444,15
Республика Саха (Якутия),Город Якутск,Кильдямцы,с,652,62.28,129.81,20
Республика Саха (Якутия),Мегино-Кангаласский,Хапчагай,с,101,62.3755555555556,130.140277777778,36
Республика Саха (Якутия),Мегино-Кангаласский,Балыктах,с,781,62.2563888888889,130.723055555556,52
Республика Саха (Якутия),Город Якутск,Владимировка,с,128,61.8941666666667,129.519722222222,26
Республика Саха (Якутия),Хангаласский,Чапаево,с,522,61.6555555555556,129.387222222222,52
Республика Саха (Якутия),Город Якутск,Кангалассы,мкр,0,62.3488888888889,129.968611111111,30
Республика Саха (Якутия),Намский,Бютяй-Юрдя,с,585,62.8272222222222,129.601111111111,82
Республика Саха (Якутия),Город Якутск,Старая Табага,с,679,61.8197222222222,129.637777777778,31
Республика Саха (Якутия),Мегино-Кангаласский,Тектюр,с,1060,62.1088888888889,130.029444444444,13
Республика Саха (Якутия),Город Якутск,Маган,с,1810,62.1,129.533333333333,12
Республика Саха (Якутия),Хангаласский,Улах-Ан,с,796,61.6144444444444,129.227777777778,60
Республика Саха (Якутия),Хангаласский,Бестях,с,2252,61.365,128.861944444444,94
Республика Саха (Якутия),Город Якутск,Табага,с,3243,61.855,129.596388888889,28
