регион,район,город,тип,население,широта,долгота,расстояние
Республика Саха (Якутия),Усть-Алданский,Элясин,с,117,62.6225,130.537222222222,76
Республика Саха (Якутия),Намский,Ымыяхтах,с,1246,62.4561111111111,129.885277777778,42
Республика Саха (Якутия),Мегино-Кангаласский,Чюйя,с,621,61.7275,130.3675,59
Республика Саха (Якутия),Намский,Намцы,с,10154,62.7186111111111,129.665,68
Республика Саха (Якутия),Хангаласский,Кысыл-Юрюйя,с,245,61.3611111111111,129.025277777778,87
Республика Саха (Якутия),Мегино-Кангаласский,Рассолода,с,442,61.6730555555556,129.648611111111,48
Республика Саха (Якутия),Хангаласский,Октемцы,с,1908,61.6658333333333,129.415277777778,49
Республика Саха (Якутия),Намский,Кысыл-Деревня,с,308,62.7830555555556,129.642222222222,75
Республика Саха (Якутия),Мегино-Кангаласский,Хомустах,с,19,61.84,129.860277777778,33
Республика Саха (Якутия),Хангаласский,Чаранг,с,66,61.4252777777778,128.779166666667,86
Республика Саха (Якутия),Город Якутск,Сырдах,с,816,62.22,129.84,19
Республика Саха (Якутия),Мегино-Кангаласский,Хатылыма,с,121,61.5425,129.886111111111,65
Республика Саха (Якутия),Усть-Алданский,Хомустах,с,469,62.8761111111111,130.323611111111,94
Республика Саха (Якутия),Мегино-Кангаласский,Беке,с,382,61.785,130.372777777778,55
Республика Саха (Якутия),Хангаласский,Покровск,г,9320,61.4838888888889,129.150555555556,72
Республика Саха (Якутия),Намский,Никольский,с,453,62.6288888888889,129.713055555556,58
Республика Саха (Якутия),Мегино-Кангаласский,Хаптагай,с,1031,61.7858333333333,129.790833333333,37
Республика Саха (Якутия),Хангаласский,Техтюр,с,632,61.7113888888889,129.467777777778,44
Республика Саха (Якутия),Хангаласский,Хоточчу,с,277,61.5344444444444,129.408611111111,64
Республика Саха (Якутия),Усть-Алданский,Далы,с,42,62.7366666666667,130.485833333333,84
Республика Саха (Якутия),Намский,Ергелех,с,284,62.5827777777778,128.868333333333,64
Республика Саха (Якутия),Усть-Алданский,Хоногор,с,690,62.47,130.11,49
Республика Саха (Якутия),Намский,Хатас,с,673,62.6805555555556,129.911944444444,66
Республика Саха (Якутия),Хангаласский,Качикатцы,с,950,61.3191666666667,128.955,93
Республика Саха (Якутия),Мегино-Кангаласский,Кердюген,с,6,62.3391666666667,130.131388888889,39
Республика Саха (Якутия),Намский,Юнер-Олох,с,5,62.7575,129.855277777778,73
Республика Саха (Якутия),Город Якутск,Хатассы,с,5348,61.9061111111111,129.636388888889,22
Республика Саха (Якутия),Мегино-Кангаласский,Нижний Бестях,п,4080,61.9619444444444,129.912222222222,24
Республика Саха (Якутия),Город Якутск,Пригородный,с,1546,61.9727777777778,129.688888888889,16
Республика Саха (Якутия),Мегино-Кангаласский,Майя,с,7212,61.7433333333333,130.275833333333,55
Республика Саха (Якутия),Намский,Воин,с,48,62.6247222222222,129.959166666667,61
Республика Саха (Якутия),Мегино-Кангаласский,Беджелек,с,5,61.9641666666667,130.168055555556,35
Республика Саха (Якутия),Мегино-Кангаласский,Павловск,с,2115,61.8716666666667,129.838055555556,29
Республика Саха (Якутия),Намский,Харыялах,с,479,62.1408333333333,129.736111111111,9
Республика Саха (Якутия),Намский,Тумул,с,949,62.9025,129.559722222222,88
Республика Саха (Якутия),Город Якутск,Капитоновка,с,891,62.3266666666667,129.941111111111,31
Республика Саха (Якутия),Город Якутск,Тулагино,с,1644,62.255,129.878611111111,23
Республика Саха (Якутия),Намский,Графский Берег,с,887,62.7747222222222,129.689722222222,74
Республика Саха (Якутия),Намский,Аппаны,с,1747,62.7594444444444,129.651111111111,72
Республика Саха (Якутия),Мегино-Кангаласский,Бедеме,с,491,62.0041666666667,130.541944444444,52
Республика Саха (Якутия),Усть-Алданский,Огородтах,с,963,62.4530555555556,130.141388888889,48
Республика Саха (Якутия),Город Якутск,Якутск,г,318768,62.0391666666667,129.735833333333,11
Республика Саха (Якутия),Мегино-Кангаласский,Сото,с,1,61.8019444444444,130.518055555556,60
Республика Саха (Якутия),Хангаласский,Карапатское,с,0,61.6888888888889,129.463888888889,47
Республика Саха (Якутия),Хангаласский,Ой,с,2284,61.5405555555556,129.183888888889,66
Республика Саха (Якутия),Намский,Столбы,с,1073,62.9977777777778,129.528333333333,99
Республика Саха (Якутия),Хангаласский,Кердем,с,974,61.4313888888889,129.195555555556,77
Республика Саха (Якутия),Мегино-Кангаласский,Петровка,с,1166,61.7269444444444,130.259166666667,56
Республика Саха (Якутия),Хангаласский,Мохсоголлох,п,6125,61.3969444444444,128.943611111111,85
Республика Саха (Якутия),Город Якутск,Жатай,п,10135,62.1658333333333,129.8375,15
Республика Саха (Якутия),Хангаласский,Нуочаха,с,4,61.3033333333333,129.568333333333,89
Республика Саха (Якутия),Мегино-Кангаласский,Ломтука,с,658,61.6383333333333,130.089166666667,59
Республика Саха (Якутия),Намский,Кысыл-Сыр,с,1603,62.5377777777778,129.761944444444,48
Республика Саха (Якутия),Хангаласский,Тит-Эбя,с,802,61.4844444444444,129.318333333333,70
Республика Саха (Якутия),Усть-Алданский,Ары-Тит,с,142,62.5102777777778,130.045833333333,51
Республика Саха (Якутия),Намский,Кюренг-Ат,с,201,62.7338888888889,129.23,71
Республика Саха (Якутия),Намский,Тарагай-Бясь,с,46,62.6613888888889,129.942777777778,64
Республика Саха (Якутия),Намский,Партизан,с,949,62.5861111111111,129.771111111111,54
Республика Саха (Якутия),Намский,Крест-Кытыл,с,1781,62.6647222222222,129.703611111111,62
Республика Саха (Якутия),Мегино-Кангаласский,Томтор,с,414,62.1483333333333,130.049444444444,25
Республика Саха (Якутия),Город Якутск,Кильдямцы,с,652,62.28,129.81,23
Республика Саха (Якутия),Мегино-Кангаласский,Хапчагай,с,101,62.3755555555556,130.140277777778,42
Республика Саха (Якутия),Город Якутск,Владимировка,с,128,61.8941666666667,129.519722222222,23
Республика Саха (Якутия),Хангаласский,Чапаево,с,522,61.6555555555556,129.387222222222,51
Республика Саха (Якутия),Город Якутск,Кангалассы,мкр,0,62.3488888888889,129.968611111111,34
