регион,район,город,тип,население,широта,долгота,расстояние
Республика Саха (Якутия),Олёкминский,Куду-Бясь,с,0,60.2294444444444,119.6425,49
Республика Саха (Якутия),Олёкминский,Нерюктяйинск 1-й,с,754,60.2591666666667,119.669444444444,47
Республика Саха (Якутия),Олёкминский,Затон Лорпа,с,2,60.3869444444444,120.339444444444,7
Республика Саха (Якутия),Олёкминский,Таас-Анна,с,201,60.2591666666667,119.723611111111,44
Республика Саха (Якутия),Олёкминский,Улахан-Мунгку,с,364,60.4191666666667,120.175555555556,16
Республика Саха (Якутия),Олёкминский,Даппарай,с,292,60.1877777777778,119.936944444444,37
Республика Саха (Якутия),Олёкминский,Нефтебаза,с,219,60.3772222222222,120.601388888889,7
Республика Саха (Якутия),Олёкминский,Балаганнах,с,71,60.6505555555556,121.177222222222,47
Республика Саха (Якутия),Олёкминский,Хоринцы,с,635,60.6652777777778,121.442777777778,60
Республика Саха (Якутия),Олёкминский,Солянка,с,363,60.4738888888889,120.725277777778,16
Республика Саха (Якутия),Олёкминский,Нерюктяйинск 2-й,с,708,60.2588888888889,119.889444444444,35
Республика Саха (Якутия),Олёкминский,Токко,с,946,59.9802777777778,119.833888888889,58
Республика Саха (Якутия),Олёкминский,Харыялах,с,0,60.6711111111111,120.793333333333,34
Республика Саха (Якутия),Олёкминский,Мекимдя,с,0,60.7980555555556,120.97,52
Республика Саха (Якутия),Олёкминский,Юнкюр,с,955,60.3986111111111,120.300833333333,9
Республика Саха (Якутия),Олёкминский,Куранда,с,8,60.4055555555556,120.231944444444,13
Республика Саха (Якутия),Олёкминский,Селиваново,с,638,60.3822222222222,120.523888888889,3
Республика Саха (Якутия),Олёкминский,Абага,с,644,60.3233333333333,120.018333333333,26
Республика Саха (Якутия),Олёкминский,Бирюк,с,208,60.2602777777778,119.646666666667,48
Республика Саха (Якутия),Олёкминский,Авиапорт,с,423,60.3963888888889,120.466111111111,0
Республика Саха (Якутия),Олёкминский,Кяччи,с,330,60.3505555555556,120.084722222222,22
Республика Саха (Якутия),Олёкминский,Абага Центральная,с,383,60.3094444444444,119.986388888889,28
Республика Саха (Якутия),Олёкминский,Уолбут,с,308,59.9683333333333,119.899722222222,57
Республика Саха (Якутия),Олёкминский,Жархан,с,8,59.9872222222222,119.7925,59
Республика Саха (Якутия),Олёкминский,Троицк,с,327,60.3513888888889,120.671666666667,12
Республика Саха (Якутия),Олёкминский,Олекминск,г,9257,60.3752777777778,120.428888888889,3
Республика Саха (Якутия),Олёкминский,Олекминское,с,924,60.3855555555556,120.181666666667,16
Республика Саха (Якутия),Олёкминский,Холго,с,80,60.2983333333333,119.98,29
Республика Саха (Якутия),Олёкминский,Заречный,с,563,60.345,120.440833333333,6
Республика Саха (Якутия),Олёкминский,Тюбя,с,30,60.4586111111111,120.348611111111,9
Республика Саха (Якутия),Олёкминский,Бердинка,с,41,60.2794444444444,119.946388888889,31
