регион,район,город,тип,население,широта,долгота,расстояние
Республика Саха (Якутия),Верхневилюйский,Оргет,с,532,63.1483333333333,120.906111111111,47
Республика Саха (Якутия),Верхневилюйский,Оросу,с,682,63.5016666666667,120.750833333333,24
Республика Саха (Якутия),Верхневилюйский,Липпе-Атах,с,643,63.7172222222222,119.864444444444,35
Республика Саха (Якутия),Верхневилюйский,Ченгере,с,0,64.1791666666667,120.192777777778,80
Республика Саха (Якутия),Верхневилюйский,Кетердех,с,99,64.2522222222222,119.748888888889,92
Республика Саха (Якутия),Верхневилюйский,Сайылык,с,574,63.8430555555556,120.063611111111,43
Республика Саха (Якутия),Верхневилюйский,Харбала,с,471,64.1116666666667,120.313055555556,72
Республика Саха (Якутия),Верхневилюйский,Тамалакан,с,576,63.5155555555556,120.838611111111,29
Республика Саха (Якутия),Верхневилюйский,Хоро,с,1184,63.5358333333333,120.1875,9
Республика Саха (Якутия),Верхневилюйский,Верхневилюйск,с,6340,63.4447222222222,120.319722222222,2
Республика Саха (Якутия),Верхневилюйский,Быччагдан,с,95,63.9108333333333,120.062777777778,51
Республика Саха (Якутия),Верхневилюйский,Куду,с,82,63.2694444444444,120.449166666667,22
Республика Саха (Якутия),Верхневилюйский,Май,с,37,63.7927777777778,119.859166666667,42
Республика Саха (Якутия),Нюрбинский,Едей,с,176,63.6013888888889,119.440277777778,44
Республика Саха (Якутия),Верхневилюйский,Дюллюкю,с,1170,63.6877777777778,120.468888888889,27
Республика Саха (Якутия),Верхневилюйский,Андреевский,с,2248,63.4363888888889,120.305,3
Республика Саха (Якутия),Верхневилюйский,Ботулу,с,719,64.1377777777778,119.768888888889,79
Республика Саха (Якутия),Верхневилюйский,Кюль,с,583,63.5441666666667,121.003888888889,37
Республика Саха (Якутия),Верхневилюйский,Харыялах,с,781,63.4733333333333,120.154444444444,5
Республика Саха (Якутия),Верхневилюйский,Далыр,с,865,63.8677777777778,120.2475,45
Республика Саха (Якутия),Верхневилюйский,Балаганнах,с,298,63.5308333333333,120.571944444444,17
Республика Саха (Якутия),Верхневилюйский,Кулусуннах,с,18,63.8077777777778,120.147222222222,39
Республика Саха (Якутия),Верхневилюйский,Быракан,с,243,63.0158333333333,121.230555555556,69
Республика Саха (Якутия),Верхневилюйский,Хомустах,с,1309,63.475,120.530555555556,13
Республика Саха (Якутия),Верхневилюйский,Багадя,с,407,64.3308333333333,119.725833333333,100
Республика Саха (Якутия),Верхневилюйский,Хомустах,с,212,63.7088888888889,120.754444444444,36
Республика Саха (Якутия),Верхневилюйский,Бютейдях,с,13,63.7980555555556,120.495,39
Республика Саха (Якутия),Верхневилюйский,Кырыкый,с,435,63.9561111111111,120.7125,59
