регион,район,город,тип,население,широта,долгота,расстояние
Республика Саха (Якутия),Нюрбинский,Салтаны,с,3,63.3605555555556,118.72,20
Республика Саха (Якутия),Сунтарский,Комсомол,с,14,62.9027777777778,117.619722222222,57
Республика Саха (Якутия),Нюрбинский,Сайылык,с,776,63.9897222222222,118.647222222222,78
Республика Саха (Якутия),Нюрбинский,Энгольжа,с,494,63.6586111111111,118.275833333333,40
Республика Саха (Якутия),Сунтарский,Харыялах,с,6,62.4255555555556,117.854444444444,100
Республика Саха (Якутия),Сунтарский,Бордон 3-й,с,1,62.6391666666667,117.37,88
Республика Саха (Якутия),Нюрбинский,Чкалов,с,68,63.6983333333333,119.264722222222,64
Республика Саха (Якутия),Сунтарский,Кутана,с,909,62.7147222222222,117.571944444444,75
Республика Саха (Якутия),Сунтарский,Кюкей,с,383,62.7677777777778,117.7225,66
Республика Саха (Якутия),Сунтарский,Шея,с,728,62.8588888888889,117.549444444444,63
Республика Саха (Якутия),Нюрбинский,Дикимдя,с,327,63.3833333333333,118.341944444444,9
Республика Саха (Якутия),Нюрбинский,Хатын-Сысы,с,716,63.5919444444444,118.845555555556,41
Республика Саха (Якутия),Нюрбинский,Чукар,с,631,63.7475,117.968611111111,53
Республика Саха (Якутия),Нюрбинский,Мар,с,934,63.5202777777778,118.988055555556,40
Республика Саха (Якутия),Нюрбинский,Кюндяде,с,929,63.2183333333333,118.144166666667,13
Республика Саха (Якутия),Нюрбинский,Нюрбачан,с,567,63.3347222222222,118.108055555556,12
Республика Саха (Якутия),Нюрбинский,Чаппанда,с,812,63.4211111111111,118.613888888889,19
Республика Саха (Якутия),Сунтарский,Тумул,с,12,62.7230555555556,117.749444444444,70
Республика Саха (Якутия),Нюрбинский,Нефтебаза,с,117,63.2725,118.464444444444,6
Республика Саха (Якутия),Нюрбинский,Ынахсыт,с,596,63.5686111111111,119.205,52
Республика Саха (Якутия),Нюрбинский,Киров,с,253,63.5844444444444,118.690833333333,36
Республика Саха (Якутия),Сунтарский,Тюбяй,с,231,62.8811111111111,117.473055555556,63
Республика Саха (Якутия),Сунтарский,Эльгяй,с,1706,62.4855555555556,117.510833333333,99
Республика Саха (Якутия),Сунтарский,Хоро,с,252,62.5533333333333,117.807222222222,87
Республика Саха (Якутия),Сунтарский,Бясь-Шея,с,0,62.8327777777778,117.535555555556,65
Республика Саха (Якутия),Сунтарский,Арылах,с,624,62.9988888888889,117.509722222222,53
Республика Саха (Якутия),Нюрбинский,Жархан,с,362,63.5186111111111,118.822777777778,34
Республика Саха (Якутия),Сунтарский,Ыгыатта,с,33,62.9738888888889,117.487222222222,56
Республика Саха (Якутия),Сунтарский,Толон,с,117,62.5858333333333,117.500277777778,90
Республика Саха (Якутия),Нюрбинский,Арангастах,с,30,63.1883333333333,117.876111111111,26
Республика Саха (Якутия),Нюрбинский,Нюрба,г,9708,63.2825,118.340833333333,1
Республика Саха (Якутия),Сунтарский,Нерюктяй,с,3,62.8013888888889,117.424722222222,72
Республика Саха (Якутия),Нюрбинский,Бысыттах,с,543,63.5777777777778,117.453333333333,54
Республика Саха (Якутия),Нюрбинский,Антоновка,с,2556,63.2861111111111,118.400555555556,3
Республика Саха (Якутия),Нюрбинский,Акана,с,420,63.5969444444444,119.093888888889,50
Республика Саха (Якутия),Нюрбинский,Сюля,с,525,63.3341666666667,118.288611111111,4
