регион,район,город,тип,население,широта,долгота,расстояние
Республика Саха (Якутия),Сунтарский,Агдары,с,382,61.9983333333333,117.4775,22
Республика Саха (Якутия),Сунтарский,Комсомол,с,14,62.9027777777778,117.619722222222,79
Республика Саха (Якутия),Сунтарский,Тойбохой,с,1442,62.1858333333333,116.75,46
Республика Саха (Якутия),Сунтарский,Харыялах,с,6,62.4255555555556,117.854444444444,29
Республика Саха (Якутия),Сунтарский,Бордон 3-й,с,1,62.6391666666667,117.37,52
Республика Саха (Якутия),Сунтарский,Эльгян,с,14,62.4016666666667,117.540833333333,24
Республика Саха (Якутия),Сунтарский,Мар-Кюель,с,447,62.3969444444444,117.011111111111,40
Республика Саха (Якутия),Сунтарский,Кутана,с,909,62.7147222222222,117.571944444444,59
Республика Саха (Якутия),Сунтарский,Кюкей,с,383,62.7677777777778,117.7225,64
Республика Саха (Якутия),Сунтарский,Шея,с,728,62.8588888888889,117.549444444444,75
Республика Саха (Якутия),Сунтарский,Кюндяе,с,746,62.3455555555556,117.701666666667,18
Республика Саха (Якутия),Сунтарский,Туойдах,с,165,62.0197222222222,117.720277777778,19
Республика Саха (Якутия),Сунтарский,Толон,с,1,62.0105555555556,117.483333333333,21
Республика Саха (Якутия),Сунтарский,Тумул,с,12,62.7230555555556,117.749444444444,60
Республика Саха (Якутия),Сунтарский,Тюбяй,с,231,62.8811111111111,117.473055555556,77
Республика Саха (Якутия),Сунтарский,Илимнир,с,272,62.0255555555556,117.423055555556,21
Республика Саха (Якутия),Сунтарский,Аллага,с,420,62.2286111111111,117.05,30
Республика Саха (Якутия),Сунтарский,Эльгяй,с,1706,62.4855555555556,117.510833333333,33
Республика Саха (Якутия),Сунтарский,Арылах,с,455,62.3719444444444,116.640833333333,55
Республика Саха (Якутия),Сунтарский,Хоро,с,252,62.5533333333333,117.807222222222,41
Республика Саха (Якутия),Сунтарский,Сарданга,с,813,61.9286111111111,117.165,37
Республика Саха (Якутия),Сунтарский,Бясь-Шея,с,0,62.8327777777778,117.535555555556,72
Республика Саха (Якутия),Сунтарский,Арылах,с,624,62.9988888888889,117.509722222222,90
Республика Саха (Якутия),Сунтарский,Ыгыатта,с,33,62.9738888888889,117.487222222222,88
Республика Саха (Якутия),Сунтарский,Толон,с,117,62.5858333333333,117.500277777778,45
Республика Саха (Якутия),Сунтарский,Устье,с,301,62.165,117.733055555556,5
Республика Саха (Якутия),Сунтарский,Эйикяр,с,6,61.8841666666667,117.501944444444,34
Республика Саха (Якутия),Сунтарский,Сунтар,с,9775,62.16,117.643888888889,2
Республика Саха (Якутия),Сунтарский,Усун-Кюель,с,623,62.2858333333333,116.864166666667,41
Республика Саха (Якутия),Сунтарский,Нерюктяй,с,3,62.8013888888889,117.424722222222,69
