регион,район,город,тип,население,широта,долгота,расстояние
Республика Саха (Якутия),Верхневилюйский,Оргет,с,532,63.1483333333333,120.906111111111,78
Республика Саха (Якутия),Вилюйский,Балагаччы,с,544,64.3894444444445,122.233055555556,75
Республика Саха (Якутия),Верхневилюйский,Оросу,с,682,63.5016666666667,120.750833333333,54
Республика Саха (Якутия),Вилюйский,Кюнде,с,189,63.6,121.36,24
Республика Саха (Якутия),Вилюйский,Сыдыбыл,с,612,63.5963888888889,121.4775,20
Республика Саха (Якутия),Вилюйский,Кирово,с,399,64.545,122.241944444444,91
Республика Саха (Якутия),Вилюйский,Бетюнг,с,419,63.7069444444444,122.345833333333,32
Республика Саха (Якутия),Верхневилюйский,Тамалакан,с,576,63.5155555555556,120.838611111111,50
Республика Саха (Якутия),Вилюйский,Тасагар,с,551,63.7669444444444,122.686388888889,49
Республика Саха (Якутия),Вилюйский,Чинеке,с,855,63.715,121.941111111111,13
Республика Саха (Якутия),Верхневилюйский,Кюль,с,583,63.5441666666667,121.003888888889,41
Республика Саха (Якутия),Верхневилюйский,Быракан,с,243,63.0158333333333,121.230555555556,85
Республика Саха (Якутия),Вилюйский,Тосу,с,620,63.8777777777778,121.611666666667,14
Республика Саха (Якутия),Вилюйский,Екюндю,с,280,63.7802777777778,122.152777777778,22
Республика Саха (Якутия),Вилюйский,Усун,с,790,64.5183333333333,121.049166666667,90
Республика Саха (Якутия),Вилюйский,Сосновка,с,293,63.7638888888889,121.873888888889,9
Республика Саха (Якутия),Верхневилюйский,Хомустах,с,212,63.7088888888889,120.754444444444,46
Республика Саха (Якутия),Вилюйский,Староватово,с,74,63.7836111111111,121.624444444444,4
Республика Саха (Якутия),Вилюйский,Вилюйск,г,11213,63.75,121.616666666667,3
Республика Саха (Якутия),Верхневилюйский,Кырыкый,с,435,63.9561111111111,120.7125,53
