регион,район,город,тип,население,широта,долгота,расстояние
Республика Саха (Якутия),Ленский,Ярославский,с,287,60.1566666666667,113.933055555556,80
Республика Саха (Якутия),Ленский,Мурья,с,233,60.7333333333333,115.290833333333,25
Республика Саха (Якутия),Ленский,Нюя Северная,с,166,60.8988888888889,114.818055555556,19
Республика Саха (Якутия),Ленский,Ленск,г,23237,60.7244444444444,114.928333333333,5
Республика Саха (Якутия),Ленский,Чамча,с,299,60.8483333333333,114.698333333333,15
Республика Саха (Якутия),Ленский,Батамай,с,169,60.7533333333333,115.3225,27
Республика Саха (Якутия),Ленский,Беченча,с,737,60.9613888888889,115.470555555556,43
Республика Саха (Якутия),Ленский,Орто-Нахара,с,340,60.8236111111111,114.324166666667,29
Республика Саха (Якутия),Ленский,Дорожный,с,155,61.4458333333333,114.358888888889,84
Республика Саха (Якутия),Ленский,Хамра,с,100,60.2225,114.126388888889,67
