регион,район,город,тип,население,широта,долгота,расстояние
Амурская область,Свободненский,Малый Эргель,с,26,51.2702777777778,127.683888888889,95
Амурская область,Ивановский,Успеновка,с,360,50.2836111111111,128.070833333333,49
Амурская область,Серышевский,Ударное,с,369,51.0938888888889,128.321388888889,98
Амурская область,Благовещенский,Егорьевка,с,172,50.6825,127.699722222222,35
Амурская область,Белогорский,Лукьяновка,с,137,50.8341666666667,128.207777777778,72
Амурская область,Ивановский,Березовка,с,3111,50.5733333333333,127.865,36
Амурская область,Благовещенский,Грязнушка,с,321,50.6544444444444,127.495277777778,26
Амурская область,Константиновский,Ключи,с,755,49.7316666666667,128.078888888889,90
Амурская область,Серышевский,Сретенка,с,39,51.0747222222222,127.893333333333,79
Амурская область,Белогорский,Новоандреевка,с,116,50.8780555555556,127.8775,60
Амурская область,Ивановский,Новоалексеевка,с,611,50.5575,128.091666666667,50
Амурская область,Ивановский,Богородское,с,546,50.4433333333333,127.810833333333,28
Амурская область,Серышевский,Серышево,пгт,9434,51.0925,128.382222222222,100
Амурская область,Свободненский,Гуран,с,139,51.0088888888889,127.295277777778,65
Амурская область,Благовещенск,Мухинка,п,129,50.5436111111111,127.649444444444,21
Амурская область,Благовещенский,Заречный,п,151,50.2488888888889,127.6725,26
Амурская область,Свободненский,Загорная Селитьба,с,441,51.1391666666667,127.249444444444,80
Амурская область,Свободненский,Костюковка,с,439,51.3158333333333,127.676944444444,100
Амурская область,Тамбовский,Гильчин,с,386,49.9052777777778,127.866666666667,66
Амурская область,Тамбовский,Лазаревка,с,311,50.2244444444444,128.343333333333,69
Амурская область,Благовещенский,Новинка,с,143,50.6419444444444,127.661111111111,29
Амурская область,Благовещенский,Ровное,с,423,50.2919444444444,127.773055555556,29
Амурская область,Благовещенск,Моховая Падь,п,0,50.3691666666667,127.615555555556,15
Амурская область,Белогорский,Великокнязевка,с,760,50.9111111111111,127.910277777778,64
Амурская область,Ивановский,Садовое,с,92,50.3366666666667,128.152777777778,53
Амурская область,Серышевский,Казанка,с,425,51.0680555555556,128.058611111111,84
Амурская область,Ивановский,Новопокровка,с,155,50.6105555555556,128.215555555556,60
Амурская область,Константиновский,Семидомка,с,316,49.7436111111111,127.789722222222,80
Амурская область,Тамбовский,Садовое,с,865,50.1577777777778,127.872777777778,44
Амурская область,Ивановский,Дмитриевка,с,972,50.4047222222222,127.944166666667,37
Амурская область,Тамбовский,Козьмодемьяновка,с,1440,50.1380555555556,128.246388888889,67
Амурская область,Константиновский,Верхняя Полтавка,с,635,49.8997222222222,128.204444444444,81
Амурская область,Ивановский,Приозерное,с,181,50.6869444444444,127.955555555556,48
Амурская область,Белогорский,Камышовка,с,59,50.8813888888889,128.233333333333,77
Амурская область,Тамбовский,Толстовка,с,744,50.2041666666667,127.936666666667,44
Амурская область,Белогорский,Лохвицы,с,572,50.7352777777778,128.212777777778,66
