регион,район,город,тип,население,широта,долгота,расстояние
Амурская область,Зейский,Сосновый Бор,с,750,53.7016666666667,127.173055555556,5
Амурская область,Зейский,Чалбачи,с,258,53.3347222222222,127.049444444444,39
Амурская область,Зейский,Сиан,с,53,53.2997222222222,126.954722222222,44
Амурская область,Зейский,Заречная Слобода,с,632,53.7205555555556,127.270833333333,12
Амурская область,Магдагачинский,Дактуй,с,556,53.3363888888889,126.175,72
Амурская область,Зейский,Ивановка,с,306,53.6308333333333,126.728888888889,24
Амурская область,Магдагачинский,Тымерсоль,ст,5,53.3819444444444,126.126666666667,72
Амурская область,Магдагачинский,Сулус,ст,30,53.2572222222222,126.203055555556,76
Амурская область,Зея,Зея,г,23093,53.7341666666667,127.265833333333,12
Амурская область,Зейский,Александровка,с,162,53.5952777777778,126.957222222222,13
Амурская область,Зейский,Рублевка,с,76,53.2372222222222,127.171944444444,50
Амурская область,Магдагачинский,Чалганы,п,402,52.9511111111111,126.435,92
Амурская область,Зейский,Золотая Гора,с,62,54.2813888888889,126.633333333333,72
Амурская область,Зейский,Гулик,с,286,53.7480555555556,127.098611111111,6
Амурская область,Магдагачинский,Тыгда,с,2972,53.1116666666667,126.33,81
Амурская область,Зейский,Николаевка-2,с,18,53.5952777777778,127.032222222222,11
Амурская область,Зейский,Алексеевка,с,0,53.5455555555556,127.013888888889,16
Амурская область,Зейский,Кировский,с,20,54.4294444444444,126.979166666667,82
Амурская область,Зейский,Поляковский,п,241,52.9944444444444,127.542222222222,82
Амурская область,Зейский,Амуро Балтийск,с,196,53.51,126.793333333333,27
Амурская область,Зейский,Ясный,п,8,53.2891666666667,127.987777777778,74
Амурская область,Зейский,Алгач,с,408,53.3908333333333,126.986111111111,33
Амурская область,Зейский,Овсянка,с,2831,53.5761111111111,126.899166666667,17
Амурская область,Зейский,Умлекан,с,244,53.2655555555556,127.133055555556,47
Амурская область,Магдагачинский,Апрельский,с,44,53.4983333333333,126.273333333333,58
Амурская область,Магдагачинский,Новопокровка,с,0,53.1525,126.353055555556,77
Амурская область,Зейский,Береговой,п,1359,54.3608333333333,127.486944444444,79
Амурская область,Зейский,Николаевка-1,с,260,53.5783333333333,127.0175,13
Амурская область,Зейский,Снежногорский,п,335,54.1913888888889,127.9625,80
Амурская область,Магдагачинский,Пионер,с,29,53.4858333333333,126.453611111111,47
Амурская область,Зейский,Березовка,с,62,53.465,126.965277777778,26
Амурская область,Зейский,Юбилейный,п,408,53.13,127.363888888889,64
