регион,район,город,тип,население,широта,долгота,расстояние
Амурская область,Тында,Тында,г,32920,55.1547222222222,124.729166666667,14
Республика Саха (Якутия),Нерюнгринский,Золотинка,п,592,56.1811111111111,124.8625,99
Амурская область,Тындинский,Кувыкта,п,270,55.1930555555556,124.215833333333,37
Амурская область,Тындинский,Лапри,п,6,55.6927777777778,124.905277777778,46
Амурская область,Тындинский,Беленький,п,147,54.87,124.376388888889,52
Амурская область,Тындинский,Первомайское,с,699,55.1108333333333,124.831111111111,19
Амурская область,Тындинский,Могот,п,625,55.6033333333333,124.918888888889,36
Амурская область,Тындинский,Аносовский,п,193,54.6244444444444,123.9725,89
Амурская область,Тындинский,Восточный,п,1157,55.1738888888889,124.9,14
Республика Саха (Якутия),Нерюнгринский,Нагорный,п,9,55.9472222222222,124.9175,74
