регион,район,город,тип,население,широта,долгота,расстояние
Хабаровский край,имени Лазо,Змейка,п,10,48.0911111111111,135.598055555556,57
Хабаровский край,Хабаровский,Малиновка,с,160,48.4816666666667,135.280833333333,8
Хабаровский край,имени Лазо,Аргунское,с,0,47.9625,134.5775,77
Хабаровский край,Хабаровский,Бычиха,с,1757,48.3002777777778,134.8275,36
Хабаровский край,Хабаровский,Благодатное,с,908,48.4241666666667,135.484444444444,24
Еврейская автономная область,Смидовичский район,Волочаевка-2,п,1810,48.565,134.577777777778,45
Хабаровский край,Хабаровский,Хехцир,п,114,48.2916666666667,135.097777777778,27
Хабаровский край,имени Лазо,База Дрофа,п,487,47.8869444444444,135.030833333333,72
Хабаровский край,имени Лазо,Прудки,с,127,47.8680555555556,135.623611111111,80
Хабаровский край,имени Лазо,Кругликово,с,264,48.105,135.122222222222,47
Хабаровский край,Хабаровский,Улика-Национальное,с,143,48.76,134.231111111111,75
Хабаровский край,Хабаровский,Чирки,п,97,48.1683333333333,135.118611111111,40
Хабаровский край,Хабаровский,Краснореченское,с,2356,48.3547222222222,135.000277777778,23
Хабаровский край,Хабаровский,Скворцово,с,269,48.4872222222222,135.234444444444,5
Хабаровский край,Хабаровский,Ильинка,с,3164,48.3686111111111,135.118888888889,18
Хабаровский край,Хабаровский,Матвеевка,с,3315,48.5405555555556,135.185,1
Еврейская автономная область,Смидовичский район,Лумку-Корань,ст,0,48.6033333333333,134.313333333333,65
Хабаровский край,Хабаровский,18 км,п,18,48.3033333333333,135.072777777778,26
Хабаровский край,Хабаровский,Виноградовка,с,989,48.6113888888889,135.131111111111,10
Хабаровский край,Хабаровский,Гаровка-2,с,1187,48.41,135.219166666667,13
Хабаровский край,имени Лазо,Кия,п,142,47.8291666666667,135.636111111111,84
Хабаровский край,Хабаровский,Федоровка,с,545,48.5955555555556,135.173888888889,7
Еврейская автономная область,Смидовичский район,им Тельмана,с,1105,48.5472222222222,134.975555555556,15
Хабаровский край,Хабаровский,Восточное,с,3008,48.4825,135.264722222222,7
Хабаровский край,Хабаровский,Заозерное,с,4024,48.6005555555556,135.229166666667,8
Хабаровский край,имени Лазо,Владимировка,с,142,48.1058333333333,135.136944444444,47
Хабаровский край,имени Лазо,Кондратьевка,с,279,47.8538888888889,134.984722222222,76
Хабаровский край,Хабаровский,Чернолесье,с,8,48.7113888888889,135.668611111111,40
Хабаровский край,Хабаровский,Краснознаменка,с,43,48.5272222222222,135.508888888889,23
Хабаровский край,имени Лазо,Бичевая,с,1246,47.7755555555556,135.629444444444,89
Хабаровский край,Вяземский,Кукелево,с,254,47.7591666666667,134.771944444444,90
Хабаровский край,Хабаровский,Князе-Волконское,с,9695,48.4888888888889,135.461388888889,20
