регион,район,город,тип,население,широта,долгота,расстояние
Хабаровский край,Амурский,Диппы,с,19,50.1477777777778,136.976388888889,29
Хабаровский край,Комсомольский,Новый Мир,с,1068,50.4561111111111,136.963888888889,5
Хабаровский край,Комсомольский,Верхняя Эконь,с,484,50.4236111111111,137.0825,10
Хабаровский край,Комсомольский,Селихино,с,4935,50.3669444444444,137.501666666667,40
Хабаровский край,Комсомольский,Гайтер,п/ст,23,50.3630555555556,137.251944444444,23
Хабаровский край,Амурский,Болонь,с,601,49.8983333333333,136.136666666667,80
Хабаровский край,Комсомольский,Молодежный,п,1252,50.3780555555556,136.948055555556,3
Хабаровский край,Комсомольский,Хурба,с,6298,50.4041666666667,136.887222222222,3
Хабаровский край,Амурский,Известковый,п,1349,50.2563888888889,136.646666666667,26
Хабаровский край,Комсомольский,Пони,ст,1,50.2658333333333,137.793055555556,63
Хабаровский край,Нанайский,Иннокентьевка,с,854,49.6769444444444,136.893611111111,81
Хабаровский край,Комсомольский,Боктор,с,291,51.0958333333333,137.41,83
Хабаровский край,Амурский,Менгон,ст,10,49.9877777777778,136.320555555556,64
Хабаровский край,Амурский,Ачан,с,491,49.8905555555556,136.611944444444,62
Хабаровский край,Комсомольский,Бельго,с,251,50.6497222222222,137.257777777778,35
Хабаровский край,Комсомольский,Пионерский Лагерь им Олега Кошевого,нп,0,50.6355555555556,137.224444444444,32
Хабаровский край,Амурский,Казарма 286 км,п/ст,0,50.1366666666667,136.601944444444,38
Хабаровский край,Комсомольский,Бичи,с,2,50.7480555555556,137.655277777778,63
Хабаровский край,Солнечный,Мавринск,с,0,51.0830555555556,136.881111111111,75
Хабаровский край,Нанайский,Малмыж,с,62,49.8527777777778,136.764444444444,63
Хабаровский край,Комсомольский,Дом отдыха «Шарголь»,нп,0,50.7158333333333,137.321666666667,43
Хабаровский край,Комсомольский,Гайтер,с,1808,50.3633333333333,137.249722222222,22
Хабаровский край,Комсомольский,Эльдиган,п/ст,2,50.3425,137.631944444444,50
Хабаровский край,Комсомольский,Эммер,с,7,50.3922222222222,137.453055555556,36
Хабаровский край,Амурский,Усть-Гур,с,104,50.1075,136.896666666667,33
Хабаровский край,Комсомольский,Верхнетамбовское,с,166,50.6675,137.400833333333,43
Хабаровский край,Солнечный,Лиан,п,0,50.8222222222222,136.934166666667,45
Хабаровский край,Солнечный,Кондон,с,515,51.2625,136.580555555556,98
Хабаровский край,Амурский,Амурск,г,39046,50.2344444444444,136.879166666667,19
Хабаровский край,Комсомольский,Среднетамбовское,с,20,50.7905555555556,137.896111111111,80
Хабаровский край,Комсомольский,Нижние Халбы,с,284,50.7972222222222,137.926666666667,82
Хабаровский край,Солнечный,Горный,п,1359,50.7641666666667,136.441944444444,52
Хабаровский край,Комсомольский,Мачтовый,п,1,50.6158333333333,137.880833333333,70
Хабаровский край,Амурский,Рыббаза,с,46,50.1416666666667,136.959166666667,29
Хабаровский край,Амурский,Падали,с,300,50.2169444444444,136.647222222222,29
Хабаровский край,Комсомольский,Пивань,с,1770,50.4797222222222,137.087222222222,13
Хабаровский край,Амурский,Вознесенское,с,1674,50.1316666666667,136.934722222222,30
Хабаровский край,Нанайский,Лидога,с,1440,49.5075,136.900555555556,100
Хабаровский край,Солнечный,Солнечный,рп,11577,50.7233333333333,136.641944444444,40
Хабаровский край,Комсомольский,Даппы,с,308,50.1886111111111,137.388055555556,40
Хабаровский край,Амурский,Малмыж,п/ст,77,50.3052777777778,136.674722222222,21
Хабаровский край,Комсомольский,Галичный,п,453,50.7227777777778,137.201666666667,39
Хабаровский край,Амурский,Эльбан,рп,11015,50.0972222222222,136.498888888889,46
Хабаровский край,Амурский,Тейсин,п/ст,0,50.0211111111111,136.43,56
Хабаровский край,Нанайский,Джонка,п,1125,49.6733333333333,136.943333333333,81
Хабаровский край,Солнечный,Хальгасо,п,168,50.6966666666667,136.893055555556,32
Хабаровский край,Комсомольский,Большая Картель,с,1337,50.3880555555556,137.382777777778,31
Хабаровский край,Амурский,Омми,с,363,50.0905555555556,136.788888888889,36
Хабаровский край,Солнечный,Домостроительный Завод,п,462,51.0616666666667,136.856388888889,72
Хабаровский край,Амурский,21-й,ж/д_рзд,17,49.8219444444444,135.943888888889,96
Хабаровский край,Нанайский,Верхний Нерген,с,489,49.8441666666667,136.7975,63
Хабаровский край,Солнечный,Хурмули,п,1562,51.0069444444444,136.895,66
Хабаровский край,Солнечный,Горин,п,3749,51.1983333333333,136.655555555556,89
Хабаровский край,город Комсомольск-на-Амуре,Комсомольск-на-Амуре,г,246607,50.55,137.008055555556,16
Хабаровский край,Амурский,Джуен,с,413,49.8488888888889,136.256111111111,79
